replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
967646aa-4c38-42d0-8c6c-1bfa31bdf8cb;pp g1;Mannfield (Night);2026-03-14 01:10:53;loss;BMM;PITCH PIRATES;Axim0v;23;Octane;244;0;0;1;5;5;2;0;0;501;46.96;2704;2078;626;23;40;1006;732;274;8;17;48.05;40.53;665;229;67;1652;526611;113.43;34.36;146;44.23;70.65;21.4;173.73;52.63;135.35;41;21.01;6.36;6.67;0.11;59;87.9;26.4;161.3;48.44;109.98;33.32;220.11;66.68;109.98;33.32;161.65;48.97;168.44;51.03;115.49;34.99;97.17;29.44;117.42;35.57;2653;2291;2994;3872;0;1
967646aa-4c38-42d0-8c6c-1bfa31bdf8cb;pp g1;Mannfield (Night);2026-03-14 01:10:53;loss;BMM;PITCH PIRATES;TheLakeEffekt;23;Octane;227;0;1;1;0;5;2;2;0;279;45.62;1519;1099;420;12;37;132;0;132;0;12;49.55;34.43;145;100;0;1322;419064;195.39;59.49;117.65;35.82;15.4;4.69;222.47;67.74;98.53;30;7.44;2.27;6.17;0.15;41;118.3;35.53;74.7;22.43;95.89;29.2;232.55;70.8;95.89;29.2;189.7;57.76;138.75;42.24;136.24;41.48;113.45;34.54;78.76;23.98;3234;3397;3056;3770;0;1
967646aa-4c38-42d0-8c6c-1bfa31bdf8cb;pp g1;Mannfield (Night);2026-03-14 01:10:53;loss;BMM;PITCH PIRATES;Selena Gomez;4284;Fennec;252;1;0;1;3;5;2;0;33.33;378;52;2148;1397;751;16;54;722;440;282;5;12;17.77;30.75;413;190;63;1440;461236;169.58;50.91;132.94;39.91;30.58;9.18;231.27;69.43;95.11;28.55;6.72;2.02;7.7;0.15;52;120.4;36.16;83.6;25.11;78.58;23.59;254.51;76.41;78.58;23.59;203.56;61.11;129.53;38.89;135.47;40.67;128.81;38.67;68.81;20.66;3117;3266;3008;3671;1;0
967646aa-4c38-42d0-8c6c-1bfa31bdf8cb;pp g1;Mannfield (Night);2026-03-14 01:10:53;win;PITCH PIRATES;BMM;Original_6_Hawks;23;Octane;410;0;0;4;1;8;1;1;0;335;54.06;1810;1134;676;15;59;557;374;183;5;16;18.91;31.18;248;374;125;1386;441707;185.02;56.06;109.9;33.3;35.13;10.64;214.31;64.93;107.92;32.7;7.83;2.37;10.03;0.16;62;96.1;28.86;112.6;33.81;104.27;31.59;225.79;68.41;104.27;31.59;234.51;71.05;95.55;28.95;188.99;57.26;76.45;23.16;64.62;19.58;2622;2422;2761;3345;1;1
967646aa-4c38-42d0-8c6c-1bfa31bdf8cb;pp g1;Mannfield (Night);2026-03-14 01:10:53;win;PITCH PIRATES;BMM;LIL HATED ONE;23;Octane;166;0;0;0;2;8;1;0;0;246;40.85;1390;876;514;10;45;87;0;87;0;8;51.51;32.52;24;125;0;1344;431937;191.99;57.7;121.67;36.57;19.05;5.73;204.91;61.59;117.17;35.22;10.64;3.2;5.61;0.16;36;116.7;35.05;106.7;32.04;92.57;27.82;240.14;72.18;92.57;27.82;248.98;74.83;83.74;25.17;199.11;59.84;91.64;27.54;41.97;12.61;3018;2978;3011;3483;1;0
967646aa-4c38-42d0-8c6c-1bfa31bdf8cb;pp g1;Mannfield (Night);2026-03-14 01:10:53;win;PITCH PIRATES;BMM;Val-enor;4284;Fennec;416;2;0;2;2;8;1;0;100;395;47.85;2074;1477;597;17;52;417;309;108;4;9;32.34;30.79;416;236;90;1522;489539;151.48;45.48;137.44;41.26;44.18;13.26;222.28;66.73;105.82;31.77;4.99;1.5;5.6;0.12;45;109.1;32.76;99.4;29.85;91.07;27.34;242.02;72.66;91.07;27.34;225.68;67.75;107.41;32.25;179.81;53.98;95.41;28.64;57.88;17.38;2884;2971;2848;3430;0;0
5379c4ea-1223-4df3-8a36-00d8b7b635dc;pp g2;Mannfield (Night);2026-03-14 01:17:51;win;BMM;PITCH PIRATES;Axim0v;23;Octane;452;1;0;3;1;4;0;0;100;442;46.93;2340;1742;598;19;39;318;167;151;2;13;68.72;33.35;409;167;32;1577;490434;135.97;42.19;130.04;40.35;56.28;17.46;178.87;55.5;127.18;39.46;16.24;5.04;5.65;0.12;48;98.6;30.34;138.3;42.55;103.97;32.26;218.32;67.74;103.97;32.26;199.03;61.76;123.25;38.24;139.14;43.17;117.5;36.46;65.64;20.37;3154;3024;3279;4199;1;1
5379c4ea-1223-4df3-8a36-00d8b7b635dc;pp g2;Mannfield (Night);2026-03-14 01:17:51;win;BMM;PITCH PIRATES;TheLakeEffekt;23;Octane;200;0;1;1;1;4;0;0;0;260;47.01;1433;772;661;10;52;203;96;107;1;9;21.9;32.67;92;237;3;1311;408411;203.74;63.1;105.11;32.55;14.04;4.35;208.27;64.5;113.25;35.07;1.37;0.42;6.24;0.14;46;94.6;29.11;95;29.23;95.35;29.53;227.54;70.47;95.35;29.53;209.16;64.78;113.73;35.22;158.01;48.93;110.03;34.08;54.86;16.99;3071;3052;3029;3850;1;1
5379c4ea-1223-4df3-8a36-00d8b7b635dc;pp g2;Mannfield (Night);2026-03-14 01:17:51;win;BMM;PITCH PIRATES;Selena Gomez;4284;Fennec;284;1;0;0;5;4;0;0;20;423;49.32;2199;1692;507;22;43;494;334;160;5;14;32.72;42.78;482;507;165;1475;459311;155.32;48.11;130.49;40.42;37.04;11.47;226.15;70.05;89.07;27.59;7.64;2.37;6.68;0.12;54;127.1;39.11;81.1;24.95;74.46;23.06;248.4;76.94;74.46;23.06;234.96;72.77;87.9;27.23;187.78;58.16;79.7;24.69;55.37;17.15;3218;3236;3239;3943;5;1
5379c4ea-1223-4df3-8a36-00d8b7b635dc;pp g2;Mannfield (Night);2026-03-14 01:17:51;loss;PITCH PIRATES;BMM;Original_6_Hawks;23;Octane;182;0;0;0;3;7;2;1;0;341;48.05;1792;1125;667;14;58;512;309;203;5;18;39.23;28.48;291;201;107;1352;402789;187.46;60.68;102.61;33.21;18.88;6.11;211.54;68.47;85.8;27.77;11.61;3.76;10.05;0.15;68;109.8;33.78;78.1;24.03;77.68;25.14;231.28;74.86;77.68;25.14;184.17;59.61;124.79;40.39;136.03;44.03;112.12;36.29;60.81;19.68;2832;2766;2933;3638;0;5
