replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
d7651745-5861-4e37-ab08-59d335b92b86;qw hlb g1;AquaDome (Salty Shallows);2026-06-12 00:26:05;win;HL & BLINKER;QUACK WOK;Bubbles3913;23;Octane;332;1;0;1;4;9;2;1;25;375;54.67;2362;1683;679;21;59;492;318;174;4;15;35.31;46.94;138;467;81;1599;525586;142.26;40.53;150.96;43.01;57.76;16.46;184.38;52.53;153.59;43.76;13.02;3.71;3.91;0.1;41;97.2;27.77;113.5;32.43;102.52;29.21;248.47;70.79;102.52;29.21;221.45;63.09;129.53;36.91;160.98;45.86;118.2;33.68;71.81;20.46;2944;2962;2964;3697;1;0
d7651745-5861-4e37-ab08-59d335b92b86;qw hlb g1;AquaDome (Salty Shallows);2026-06-12 00:26:05;win;HL & BLINKER;QUACK WOK;Squirt;23;Octane;410;1;1;1;1;9;2;0;100;389;58.83;2255;1817;438;23;44;839;722;117;8;11;29.33;74.56;231;529;77;1640;534156;136.61;39.26;143.59;41.26;67.79;19.48;185.2;53.22;149.04;42.83;13.74;3.95;6.51;0.13;50;117;33.43;112.9;32.26;90.31;25.95;257.68;74.05;90.31;25.95;223.37;64.19;124.62;35.81;166.86;47.95;103.76;29.82;77.36;22.23;3083;3158;3042;3917;0;1
d7651745-5861-4e37-ab08-59d335b92b86;qw hlb g1;AquaDome (Salty Shallows);2026-06-12 00:26:05;win;HL & BLINKER;QUACK WOK;NeonLightning20;23;Octane;341;1;0;2;1;9;2;1;100;283;56.23;1578;888;690;11;57;330;175;155;2;13;12.76;38.97;189;233;24;1381;453526;202.58;57.72;118.51;33.76;29.9;8.52;234.52;66.82;110.5;31.48;5.96;1.7;7.97;0.08;97;114.3;32.66;105.8;30.23;88.5;25.22;262.48;74.78;88.5;25.22;239.13;68.13;111.86;31.87;186.82;53.23;98.32;28.01;65.84;18.76;3002;3164;2785;3552;2;0
d7651745-5861-4e37-ab08-59d335b92b86;qw hlb g1;AquaDome (Salty Shallows);2026-06-12 00:26:05;loss;QUACK WOK;HL & BLINKER;LIL HATED ONE;23;Octane;377;1;1;2;3;6;3;2;33.33;306;46.98;1698;1045;653;12;58;238;100;138;1;12;26.51;27.98;158;161;0;1444;467473;174.43;50.31;144.97;41.82;27.28;7.87;229.95;66.33;103.43;29.83;13.3;3.84;6.42;0.13;48;136.4;38.97;89.5;25.57;94.93;27.38;251.75;72.62;94.93;27.38;234.39;67.61;112.29;32.39;181.46;52.34;102.97;29.7;62.25;17.96;3368;3416;3342;3678;0;1
d7651745-5861-4e37-ab08-59d335b92b86;qw hlb g1;AquaDome (Salty Shallows);2026-06-12 00:26:05;loss;QUACK WOK;HL & BLINKER;Original_6_Hawks;23;Octane;418;1;1;1;4;6;3;1;25;314;44.14;1788;1095;693;13;60;446;221;225;3;20;38.79;21.98;226;204;78;1367;447747;200.27;57.06;123.69;35.24;27.02;7.7;218.3;62.2;122.72;34.96;9.97;2.84;11.84;0.17;68;91.8;26.23;127.4;36.4;98.07;27.94;252.92;72.06;98.07;27.94;234.33;66.76;116.66;33.24;184.26;52.5;87.52;24.94;79.21;22.57;2595;2482;2729;3420;1;0
d7651745-5861-4e37-ab08-59d335b92b86;qw hlb g1;AquaDome (Salty Shallows);2026-06-12 00:26:05;loss;QUACK WOK;HL & BLINKER;godfatherjones;23;Octane;154;0;0;0;2;6;3;0;0;384;43.82;2308;1756;552;21;41;451;334;117;4;10;51.38;39.56;652;351;65;1476;475317;178.32;51.7;122.64;35.56;43.94;12.74;226.92;65.79;111.02;32.19;6.97;2.02;5.31;0.15;35;118.5;33.86;111.6;31.89;108.85;31.56;236.06;68.44;108.85;31.56;228.84;66.35;116.07;33.65;184.43;53.47;85.88;24.9;74.6;21.63;2787;2685;2875;3628;0;2
857eff1a-48e0-47b9-b684-6f81bb03ef3f;qw hlb g2;AquaDome (Salty Shallows);2026-06-12 00:33:41;loss;HL & BLINKER;QUACK WOK;Bubbles3913;23;Octane;436;1;0;2;5;4;2;0;20;407;58.6;2477;1823;654;22;61;816;584;232;7;21;29.1;33.11;286;431;126;1677;585250;111.49;30.62;186.63;51.26;65.93;18.11;190.39;52.3;154.33;42.39;19.32;5.31;3.89;0.09;44;95.8;26.32;130.9;35.96;128.21;35.22;235.84;64.78;128.21;35.22;204.85;56.27;159.2;43.73;145.55;39.98;107.79;29.61;110.71;30.41;2948;2828;3066;3877;0;0
857eff1a-48e0-47b9-b684-6f81bb03ef3f;qw hlb g2;AquaDome (Salty Shallows);2026-06-12 00:33:41;loss;HL & BLINKER;QUACK WOK;NeonLightning20;23;Octane;228;0;1;0;3;4;2;0;0;297;51.3;1832;1157;675;14;61;278;140;138;2;14;19.22;38.32;194;254;60;1416;493721;202.03;55.5;137.1;37.66;24.91;6.84;233.32;64.09;123.55;33.94;7.17;1.97;7.55;0.07;105;132.6;36.43;100.8;27.69;106.13;29.15;257.91;70.85;106.13;29.15;224.74;61.73;139.31;38.27;168.38;46.25;118.73;32.61;76.94;21.13;3109;3177;3165;3791;0;0
857eff1a-48e0-47b9-b684-6f81bb03ef3f;qw hlb g2;AquaDome (Salty Shallows);2026-06-12 00:33:41;loss;HL & BLINKER;QUACK WOK;Squirt;23;Octane;234;0;0;0;2;4;2;2;0;402;59.34;2437;1797;640;23;50;632;503;129;6;12;27.55;80.66;161;532;97;1609;561356;143.16;39.32;151.25;41.55;69.64;19.13;193.61;53.18;154.31;42.39;16.12;4.43;7.09;0.14;52;121.3;33.32;114.3;31.4;107.83;29.62;256.22;70.38;107.83;29.62;228.07;62.65;135.97;37.35;174.16;47.84;100.47;27.6;89.42;24.56;2834;2699;2922;3814;1;0
857eff1a-48e0-47b9-b684-6f81bb03ef3f;qw hlb g2;AquaDome (Salty Shallows);2026-06-12 00:33:41;win;QUACK WOK;HL & BLINKER;LIL HATED ONE;23;Octane;276;1;1;1;1;10;1;0;100;243;39.69;1411;650;761;7;66;241;100;141;1;12;27.99;17.8;105;62;0;1308;455736;223.25;61.41;124.88;34.35;15.39;4.23;245.65;67.57;116.08;31.93;1.8;0.5;6.63;0.15;45;148.2;40.71;112.1;30.8;98.36;27.06;265.17;72.94;98.36;27.06;271.04;74.56;92.49;25.44;207.45;57.07;103.31;28.42;52.77;14.52;3317;3375;3214;3532;0;0
