replay id;replay title;map;date;result;team name;opposing team name;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time in front of ball;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;demos inflicted;demos taken
5379c4ea-1223-4df3-8a36-00d8b7b635dc;pp g2;Mannfield (Night);2026-03-14 01:17:51;win;BMM;PITCH PIRATES;936;2;1;4;7;4;0;28.57;1125;143.26;5972;4206;1766;51;134;1015;597;418;8;36;123.34;108.8;983;911;200;1358156;495.03;365.64;107.36;613.29;329.5;25.25;18.57;148;273.78;694.26;273.78;643.15;324.88;484.93;307.23;175.87;7;3
5379c4ea-1223-4df3-8a36-00d8b7b635dc;pp g2;Mannfield (Night);2026-03-14 01:17:51;loss;PITCH PIRATES;BMM;547;0;0;3;4;7;2;0;1067;132.38;5694;3773;1921;45;169;1246;721;525;10;47;136.06;85.21;1074;683;193;1322795;495.48;356.85;102.34;605.32;327.78;21.57;19.75;138;284.36;670.32;284.36;591.31;363.37;424.42;317.17;213.1;3;7
a01c31c2-387a-4fc5-8b9d-464f297c4ab5;pp g3;Mannfield (Night);2026-03-14 01:25:29;win;BMM;PITCH PIRATES;868;2;2;2;8;5;1;25;1161;160.14;6309;4544;1765;54;140;1354;773;581;9;43;105.36;160.47;882;929;139;1337147;500.89;393.4;87.8;644.19;295.79;42.12;19.24;155;244.31;737.78;244.31;540.62;441.46;378.82;316.05;287.22;3;5
a01c31c2-387a-4fc5-8b9d-464f297c4ab5;pp g3;Mannfield (Night);2026-03-14 01:25:29;loss;PITCH PIRATES;BMM;746;1;1;3;5;8;2;20;938;128.86;4866;3007;1859;34;159;1002;654;348;7;30;158.04;76.96;547;404;53;1273035;567.37;351.33;61.67;618.06;331.66;30.64;22.9;152;310.63;669.74;310.63;725.3;255.05;553.49;285.1;141.76;5;3
185ad31e-74a1-4f58-ada9-b36f70128eae;pp g4;Mannfield (Night);2026-03-14 01:32:49;win;BMM;PITCH PIRATES;974;3;2;3;6;3;0;50;1126;144.99;6037;4350;1687;51;144;1267;804;463;10;37;104.92;113.91;1152;772;206;1376847;511.04;368.3;121.49;617.09;346.47;37.29;19.37;149;237.1;763.74;237.1;663.65;337.19;507.24;306.61;186.98;1;1
185ad31e-74a1-4f58-ada9-b36f70128eae;pp g4;Mannfield (Night);2026-03-14 01:32:49;loss;PITCH PIRATES;BMM;516;0;0;3;3;6;3;0;1060;130.52;5631;3829;1802;44;156;1008;500;508;5;44;134.62;84.91;751;593;8;1380831;518.27;384.29;102;642.74;316.71;45.12;18.89;144;310.7;693.87;310.7;646.37;358.19;454.92;358.41;191.24;1;1
d3aca241-7c5a-48c5-966f-ef09f5d4bc0d;pp g5;Mannfield (Night);2026-03-14 01:40:48;win;BMM;PITCH PIRATES;1300;5;3;2;12;2;0;41.67;1188;156.82;6780;5122;1658;63;144;1610;1116;494;14;45;86.43;112.04;1110;1221;281;1460882;506.73;411.07;128.93;679.78;338.9;28.01;19.67;159;251.73;794.98;251.73;587.94;458.77;423.07;336.99;286.65;2;2
d3aca241-7c5a-48c5-966f-ef09f5d4bc0d;pp g5;Mannfield (Night);2026-03-14 01:40:48;loss;PITCH PIRATES;BMM;724;0;0;5;2;12;5;0;1080;129.35;5686;3753;1933;44;159;1164;759;405;8;34;159.17;58.19;1062;584;42;1409397;530.94;395.38;107.63;644.26;360.11;29.55;20.72;147;354.45;679.48;354.45;755.94;277.99;587.85;303.14;142.95;2;2
967646aa-4c38-42d0-8c6c-1bfa31bdf8cb;pp g1;Mannfield (Night);2026-03-14 01:10:53;loss;BMM;PITCH PIRATES;723;1;1;3;8;5;2;12.5;1158;144.58;6371;4574;1797;51;131;1860;1172;688;13;41;115.37;105.71;1223;519;130;1406911;478.4;396.59;116.63;627.47;328.99;35.17;20.54;152;284.45;707.17;284.45;554.91;436.72;387.2;339.43;264.99;1;2
967646aa-4c38-42d0-8c6c-1bfa31bdf8cb;pp g1;Mannfield (Night);2026-03-14 01:10:53;win;PITCH PIRATES;BMM;992;2;0;6;5;8;1;40;976;142.76;5274;3487;1787;42;156;1061;683;378;9;33;102.76;94.49;688;735;215;1363183;528.49;369.01;98.36;641.5;330.91;23.46;21.24;143;287.91;707.95;287.91;709.17;286.7;567.91;263.5;164.47;2;1
