replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
6d7ad1e5-04d8-41f5-9ed1-9454f8e1cfc0;2026-02-16.20.31 Selena Gomez Private Win;Mannfield (Night);2026-02-17 01:31:57;win;BMM;TRIPLE SCOOP;Ax1mov;23;Octane;601;2;1;2;4;9;2;0;50;415;50.45;2549;2025;524;25;48;501;354;147;5;14;51.68;39.22;585;458;145;1675;560092;128.14;35.51;162.58;45.06;70.1;19.43;215.43;59.71;132.98;36.86;12.4;3.44;4.24;0.08;52;100.5;27.84;137;37.95;92.86;25.74;267.95;74.26;92.86;25.74;217.06;60.16;143.75;39.84;158.02;43.8;102.04;28.28;100.75;27.92;3089;2975;3220;3842;0;0
6d7ad1e5-04d8-41f5-9ed1-9454f8e1cfc0;2026-02-16.20.31 Selena Gomez Private Win;Mannfield (Night);2026-02-17 01:31:57;win;BMM;TRIPLE SCOOP;Selena Gomez;4284;Fennec;541;1;2;3;3;9;2;1;33.33;341;42.2;1817;1183;634;13;55;363;200;163;2;14;42.28;29.22;144;65;0;1384;457143;204.91;57.35;125.62;35.16;26.78;7.49;242.87;67.97;107.66;30.13;6.78;1.9;10.04;0.13;78;137.9;38.2;102.7;28.45;78.48;21.96;278.83;78.04;78.48;21.96;235.19;65.82;122.12;34.18;183.17;51.26;101.16;28.31;72.98;20.42;3311;3278;3382;3721;1;1
6d7ad1e5-04d8-41f5-9ed1-9454f8e1cfc0;2026-02-16.20.31 Selena Gomez Private Win;Mannfield (Night);2026-02-17 01:31:57;win;BMM;TRIPLE SCOOP;TheLakeEffekt;23;Octane;176;1;0;0;1;9;2;1;100;248;51.4;1478;924;554;11;51;421;229;192;3;18;20.35;27.82;82;215;77;1381;460250;211.09;58.49;128.13;35.5;21.7;6.01;241.94;67.03;111.98;31.03;7;1.94;7.07;0.14;49;105.1;29.11;101.6;28.14;82.09;22.74;278.83;77.26;82.09;22.74;199.76;55.35;161.16;44.65;151.48;41.97;115.32;31.95;94.12;26.08;2895;3016;2822;3508;0;0
6d7ad1e5-04d8-41f5-9ed1-9454f8e1cfc0;2026-02-16.20.31 Selena Gomez Private Win;Mannfield (Night);2026-02-17 01:31:57;loss;TRIPLE SCOOP;BMM;EPo -_-;23;Octane;630;1;0;3;5;8;4;1;20;407;41.05;2350;1874;476;21;42;374;278;96;3;9;49.89;28.16;185;225;21;1556;517975;159.96;44.32;135.62;37.58;65.33;18.1;206.29;57.16;143.32;39.71;11.3;3.13;9.57;0.12;77;101;27.98;132;36.57;85.01;23.55;275.9;76.45;85.01;23.55;264.99;73.42;95.93;26.58;207.81;57.58;98.42;27.27;54.69;15.15;2479;2327;2581;3408;1;0
6d7ad1e5-04d8-41f5-9ed1-9454f8e1cfc0;2026-02-16.20.31 Selena Gomez Private Win;Mannfield (Night);2026-02-17 01:31:57;loss;TRIPLE SCOOP;BMM;Lil_Otter13;23;Octane;180;0;2;0;2;8;4;2;0;255;51.16;1578;874;704;11;62;183;100;83;1;7;17.13;17.84;276;232;0;1257;413024;231.64;65;112.39;31.54;12.33;3.46;281.34;78.95;70.21;19.7;4.81;1.35;5.02;0.21;24;153.5;42.52;91.5;25.35;84.1;23.6;272.25;76.4;84.1;23.6;293.52;82.37;62.83;17.63;221.3;62.1;113.53;31.86;21.53;6.04;3340;3461;3253;3418;0;1
6d7ad1e5-04d8-41f5-9ed1-9454f8e1cfc0;2026-02-16.20.31 Selena Gomez Private Win;Mannfield (Night);2026-02-17 01:31:57;loss;TRIPLE SCOOP;BMM;MJD22-_-;4284;Fennec;362;1;0;1;2;8;4;1;50;366;49.99;2270;1865;405;22;37;326;241;85;3;8;38.44;62.9;71;358;58;1462;488712;193.01;53.47;125.94;34.89;42.01;11.64;211.82;58.68;142.56;39.49;6.58;1.82;7.03;0.16;43;86;23.82;117.9;32.66;102.89;28.51;258.06;71.49;102.89;28.51;257.92;71.46;103.03;28.54;208.67;57.81;93.87;26.01;58.41;16.18;2985;2972;3023;3345;0;0
c0f09db1-3bb6-4098-8630-7bfa6fc6319d;2026-02-16.20.40 Selena Gomez Private Win;Mannfield (Night);2026-02-17 01:40:33;win;BMM;TRIPLE SCOOP;Ax1mov;23;Octane;377;1;0;2;3;6;2;1;33.33;397;47.06;2515;1879;636;23;54;497;292;205;3;17;56.33;32.79;548;434;7;1650;562173;138.64;37.72;158.41;43.1;70.51;19.18;213.18;58;139.74;38.02;14.63;3.98;4.88;0.09;55;119.4;32.18;122.6;33.05;76.97;20.94;290.59;79.06;76.97;20.94;246.83;67.15;120.73;32.85;182.12;49.55;109.14;29.69;76.3;20.76;3060;2904;3375;4055;1;1
c0f09db1-3bb6-4098-8630-7bfa6fc6319d;2026-02-16.20.40 Selena Gomez Private Win;Mannfield (Night);2026-02-17 01:40:33;win;BMM;TRIPLE SCOOP;TheLakeEffekt;23;Octane;299;0;3;0;0;6;2;0;0;276;49.02;1653;1036;617;12;54;327;200;127;2;12;35.27;23.03;103;173;7;1447;493376;192.32;52.25;157.56;42.81;18.18;4.94;230.96;62.75;125.11;33.99;11.98;3.25;6.15;0.15;42;88.7;23.91;129.9;35.01;97.55;26.5;270.51;73.5;97.55;26.5;211.05;57.34;157;42.66;146.59;39.83;128.28;34.85;93.18;25.32;3245;3292;3294;3919;1;1
c0f09db1-3bb6-4098-8630-7bfa6fc6319d;2026-02-16.20.40 Selena Gomez Private Win;Mannfield (Night);2026-02-17 01:40:33;win;BMM;TRIPLE SCOOP;Selena Gomez;4284;Fennec;495;3;0;1;4;6;2;1;75;385;49.87;2300;1599;701;18;62;224;66;158;1;14;16.96;47.52;203;216;33;1398;472826;199;54.56;135.26;37.08;30.49;8.36;242.91;66.6;110.35;30.25;11.48;3.15;13.16;0.15;86;149.6;40.32;103.6;27.92;77.15;21.15;287.6;78.85;77.15;21.15;258.04;70.75;106.7;29.25;189.39;51.92;114.96;31.52;60.4;16.56;3460;3591;3412;3949;4;2
c0f09db1-3bb6-4098-8630-7bfa6fc6319d;2026-02-16.20.40 Selena Gomez Private Win;Mannfield (Night);2026-02-17 01:40:33;loss;TRIPLE SCOOP;BMM;MJD22-_-;4284;Fennec;330;0;2;1;3;7;4;2;0;386;46.73;2286;1817;469;22;33;223;54;169;1;15;41.32;60.48;109;385;45;1566;533275;160.71;43.67;152.72;41.5;54.56;14.83;186.57;50.7;152.29;41.38;29.13;7.92;6.5;0.14;46;90.3;24.34;160;43.13;132.11;35.9;235.88;64.1;132.11;35.9;238.28;64.75;129.71;35.25;185.16;50.32;107.99;29.35;74.83;20.34;2865;2625;3168;3774;1;1
