replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
870dd802-4f61-4550-9109-6d10e1f52612;series 3 game 1;Rivals Arena;2025-10-28 01:40:55;win;THE HORNETS;MUSTY M1LKERS;MegatronMD;23;Octane;449;1;0;2;2;9;0;0;50;526;50.61;2792;2173;619;25;58;755;561;194;6;17;30.17;33.02;795;341;38;1735;547175;101.05;30.92;130.65;39.98;95.09;29.1;184.83;56.56;126.11;38.59;15.86;4.85;4.32;0.13;34;103.7;31.23;133;40.06;103.65;31.72;223.14;68.28;103.65;31.72;198.22;60.66;128.57;39.34;139.39;42.65;115.58;35.37;71.83;21.98;3357;2954;3860;3791;3;2
870dd802-4f61-4550-9109-6d10e1f52612;series 3 game 1;Rivals Arena;2025-10-28 01:40:55;win;THE HORNETS;MUSTY M1LKERS;PoolnoodlE_412;11016;Porsche 911 GT3 RS;163;0;1;1;0;9;0;0;0;319;45.49;1714;1031;683;11;44;362;197;165;2;14;42.41;37.65;350;68;2;1416;452649;177.95;53.6;128.71;38.77;25.31;7.62;235.79;71.03;93.06;28.03;3.13;0.94;3.49;0.16;22;117.9;35.51;84.4;25.42;78.15;23.54;253.83;76.46;78.15;23.54;199.46;60.08;132.52;39.92;147.69;44.49;105.68;31.83;78.61;23.68;2975;3055;2859;3525;1;0
870dd802-4f61-4550-9109-6d10e1f52612;series 3 game 1;Rivals Arena;2025-10-28 01:40:55;win;THE HORNETS;MUSTY M1LKERS;AtownSteelers;4284;Fennec;538;1;0;4;2;9;0;0;50;323;53.17;1835;1186;649;14;60;386;150;236;2;21;30.86;25.67;228;229;49;1463;465947;164.91;50;127.45;38.64;37.47;11.36;205.94;62.44;121.21;36.75;2.68;0.81;4.8;0.1;46;107.4;32.35;106.9;32.2;70.39;21.34;259.44;78.66;70.39;21.34;213.61;64.76;116.22;35.24;167.7;50.84;85.79;26.01;76.34;23.15;2966;2735;3271;3672;0;1
870dd802-4f61-4550-9109-6d10e1f52612;series 3 game 1;Rivals Arena;2025-10-28 01:40:55;loss;MUSTY M1LKERS;THE HORNETS;Axim0v;22;Breakout;284;0;0;1;4;4;2;0;0;485;50.59;2566;1997;569;26;42;686;509;177;6;16;31.9;44.94;520;530;95;1697;539372;99.9;30.29;159.43;48.34;70.51;21.38;190.68;57.81;117.65;35.67;21.51;6.52;3.44;0.11;32;91.5;27.56;130.1;39.19;103.24;31.3;226.6;68.7;103.24;31.3;202.99;61.54;126.85;38.46;156.61;47.48;87.93;26.66;85.31;25.86;2977;2433;3436;4129;1;1
870dd802-4f61-4550-9109-6d10e1f52612;series 3 game 1;Rivals Arena;2025-10-28 01:40:55;loss;MUSTY M1LKERS;THE HORNETS;TheLakeEffekt;23;Octane;126;0;0;0;3;4;2;0;0;268;51.17;1423;885;538;12;48;502;386;116;4;10;20.83;39.03;121;327;13;1353;430758;194.36;58.92;125.5;38.04;10.02;3.04;212.24;64.34;108.83;32.99;8.81;2.67;4.61;0.12;38;108.6;32.71;111.4;33.55;113.08;34.28;216.8;65.72;113.08;34.28;207.87;63.01;122.01;36.99;152.81;46.32;100.3;30.41;76.76;23.27;3180;3480;2939;4004;1;1
870dd802-4f61-4550-9109-6d10e1f52612;series 3 game 1;Rivals Arena;2025-10-28 01:40:55;loss;MUSTY M1LKERS;THE HORNETS;Selena Gomez;11505;;206;0;0;1;2;4;2;2;0;395;50.2;2135;1393;742;18;66;336;200;136;2;12;47.03;23.32;260;411;0;1423;440344;158.72;48.57;130.33;39.88;37.75;11.55;192.31;58.85;126.44;38.69;8.05;2.46;6.89;0.13;54;130.5;39.31;84.4;25.42;101.79;31.15;225;68.85;101.79;31.15;219.86;67.28;106.94;32.72;184.39;56.42;76.1;23.29;66.31;20.29;3484;3469;3490;4106;1;2
84257303-d974-495c-9f5d-4a960f05c0dc;series 3 game 2;Rivals Arena;2025-10-28 01:48:22;win;THE HORNETS;MUSTY M1LKERS;MegatronMD;23;Octane;319;0;1;2;1;3;0;0;0;425;54.53;2387;1889;498;25;40;574;470;104;7;9;33.13;38.55;289;542;141;1475;473789;173.03;50.72;118.93;34.86;49.18;14.42;198.1;58.07;124.91;36.61;18.14;5.32;5.97;0.12;49;129;37.18;46.7;13.46;82.79;24.27;258.35;75.73;82.79;24.27;245.19;71.87;95.95;28.13;189.41;55.52;103.6;30.37;48.13;14.11;2889;2776;3059;3836;2;2
84257303-d974-495c-9f5d-4a960f05c0dc;series 3 game 2;Rivals Arena;2025-10-28 01:48:22;win;THE HORNETS;MUSTY M1LKERS;AtownSteelers;4284;Fennec;513;3;0;0;4;3;0;0;75;334;54.34;1829;1171;658;13;62;220;100;120;1;11;33.76;26.22;167;165;0;1485;483798;172.17;50.31;141.52;41.35;28.55;8.34;228.72;66.83;108.22;31.62;5.3;1.55;5.63;0.11;52;81.2;23.4;53.6;15.45;102.04;29.82;240.19;70.18;102.04;29.82;238.88;69.8;103.35;30.2;171.6;50.14;118.62;34.66;52.01;15.2;2825;2588;3105;3453;1;1
84257303-d974-495c-9f5d-4a960f05c0dc;series 3 game 2;Rivals Arena;2025-10-28 01:48:22;win;THE HORNETS;MUSTY M1LKERS;PoolnoodlE_412;11016;Porsche 911 GT3 RS;200;1;0;0;1;3;0;0;100;302;49.87;1666;1270;396;15;35;285;153;132;2;12;32.87;61.49;380;232;46;1450;471025;176.74;51.2;130.11;37.69;38.36;11.11;239.29;69.32;105.14;30.46;0.79;0.23;3.35;0.18;19;120.1;34.61;62.7;18.07;105.41;30.53;239.81;69.47;105.41;30.53;222.66;64.5;122.56;35.5;180.01;52.14;93.04;26.95;72.17;20.91;3102;3040;3186;3553;1;0
84257303-d974-495c-9f5d-4a960f05c0dc;series 3 game 2;Rivals Arena;2025-10-28 01:48:22;loss;MUSTY M1LKERS;THE HORNETS;Axim0v;22;Breakout;148;0;0;0;2;6;4;2;0;408;52.86;2221;1671;550;22;38;443;221;222;4;13;32.59;41.34;353;539;178;1611;527814;138.51;39.89;146.95;42.32;61.74;17.78;195.65;56.35;127.02;36.58;24.53;7.07;4.5;0.13;36;104.6;30.14;130.6;37.64;107.96;31.09;239.24;68.91;107.96;31.09;191.94;55.28;155.26;44.72;136.88;39.42;115.03;33.13;95.29;27.45;2947;2715;3132;4015;2;0
84257303-d974-495c-9f5d-4a960f05c0dc;series 3 game 2;Rivals Arena;2025-10-28 01:48:22;loss;MUSTY M1LKERS;THE HORNETS;TheLakeEffekt;23;Octane;60;0;0;0;0;6;4;1;0;263;51.44;1345;626;719;7;66;277;0;277;0;24;23.83;14.78;121;107;1;1372;447165;196.64;56.9;132.94;38.47;15.98;4.62;233.92;67.69;102.95;29.79;8.68;2.51;4.7;0.14;33;93.3;26.89;82;23.63;98.73;28.57;246.83;71.43;98.73;28.57;199.64;57.77;145.92;42.23;134.02;38.78;137.35;39.75;74.18;21.47;3137;3443;2906;4026;1;0
84257303-d974-495c-9f5d-4a960f05c0dc;series 3 game 2;Rivals Arena;2025-10-28 01:48:22;loss;MUSTY M1LKERS;THE HORNETS;Selena Gomez;11505;;209;0;0;1;1;6;4;1;0;399;48.75;2330;1578;752;20;68;551;320;231;4;20;40.6;20.38;309;333;79;1515;476014;149.77;45.01;132.11;39.7;50.89;15.29;187.33;56.29;135.79;40.81;9.65;2.9;5.66;0.11;53;146.6;42.25;116.7;33.63;95.53;28.71;237.24;71.29;95.53;28.71;209.22;62.87;123.56;37.13;154.26;46.35;93.66;28.14;84.86;25.5;3567;3727;3457;4270;0;4
d01015ec-46eb-42ae-8837-28b2949fa7b3;series 3 game 3;Rivals Arena;2025-10-28 01:57:54;loss;THE HORNETS;MUSTY M1LKERS;MegatronMD;23;Octane;527;2;1;1;4;9;6;3;50;405;55.52;2649;2130;519;26;46;378;270;108;4;10;48.49;47.14;421;433;129;1587;550099;170.89;44.97;140.64;37.01;68.44;18.01;220.03;57.91;145.01;38.16;14.94;3.93;7.36;0.13;58;128.9;33.74;131.6;34.45;105.68;27.81;274.3;72.19;105.68;27.81;268.06;70.55;111.91;29.45;192.42;50.64;137.41;36.16;50.14;13.2;3070;2820;3334;3736;0;1
d01015ec-46eb-42ae-8837-28b2949fa7b3;series 3 game 3;Rivals Arena;2025-10-28 01:57:54;loss;THE HORNETS;MUSTY M1LKERS;PoolnoodlE_412;11016;Porsche 911 GT3 RS;301;0;1;2;0;9;6;3;0;290;45.76;1873;1258;615;17;46;95;0;95;0;8;49.67;46.19;523;354;0;1309;454988;241.22;63.1;116.1;30.37;24.95;6.53;274.57;71.83;106.59;27.88;1.11;0.29;4.26;0.19;22;135.9;35.58;100.4;26.28;107.18;28.04;275.09;71.96;107.18;28.04;277.47;72.58;104.8;27.42;209.8;54.88;130.33;34.09;42.14;11.02;2971;3216;2673;3437;1;0
d01015ec-46eb-42ae-8837-28b2949fa7b3;series 3 game 3;Rivals Arena;2025-10-28 01:57:54;loss;THE HORNETS;MUSTY M1LKERS;AtownSteelers;4284;Fennec;264;1;1;0;1;9;6;0;100;277;56.94;1854;1107;747;15;67;258;115;143;2;14;34.77;35.05;212;436;84;1379;478088;216.71;57.04;138.26;36.39;24.98;6.57;254.99;67.11;116.89;30.76;8.07;2.12;7.06;0.1;69;87.8;22.98;114.2;29.9;122.96;32.36;257;67.64;122.96;32.36;268.07;70.55;111.88;29.45;207.68;54.66;112.75;29.67;59.53;15.67;2707;2681;2788;3419;0;1
d01015ec-46eb-42ae-8837-28b2949fa7b3;series 3 game 3;Rivals Arena;2025-10-28 01:57:54;win;MUSTY M1LKERS;THE HORNETS;Axim0v;22;Breakout;631;3;2;0;4;5;3;2;75;390;44.87;2287;1754;533;22;48;331;187;144;2;13;36.69;30.3;612;362;12;1560;546197;164.72;43.01;162.63;42.47;55.61;14.52;243.27;63.52;135.29;35.33;4.4;1.15;5.18;0.14;38;126.4;33.09;100.8;26.39;75;19.58;307.96;80.42;75;19.58;266.92;69.7;116.04;30.3;197.89;51.67;113.75;29.7;71.32;18.62;3033;3213;2997;4119;1;0
