replay id;replay title;map;date;result;team name;opposing team name;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time in front of ball;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;demos inflicted;demos taken
870dd802-4f61-4550-9109-6d10e1f52612;series 3 game 1;Rivals Arena;2025-10-28 01:40:55;loss;MUSTY M1LKERS;THE HORNETS;616;0;0;2;9;4;2;0;1148;151.96;6124;4275;1849;56;156;1524;1095;429;12;38;99.76;107.29;901;1268;108;1410474;452.98;415.26;118.28;595.23;352.92;38.37;14.94;124;318.11;668.4;318.11;630.72;355.8;493.81;264.33;228.38;3;4
870dd802-4f61-4550-9109-6d10e1f52612;series 3 game 1;Rivals Arena;2025-10-28 01:40:55;win;THE HORNETS;MUSTY M1LKERS;1150;2;1;7;4;9;0;50;1168;149.27;6341;4390;1951;50;162;1503;908;595;10;52;103.44;96.34;1373;638;89;1465771;443.91;386.81;157.87;626.56;340.38;21.67;12.61;102;252.19;736.41;252.19;611.29;377.31;454.78;307.05;226.78;4;3
84257303-d974-495c-9f5d-4a960f05c0dc;series 3 game 2;Rivals Arena;2025-10-28 01:48:22;win;THE HORNETS;MUSTY M1LKERS;1032;4;1;2;6;3;0;66.67;1061;158.74;5882;4330;1552;53;137;1079;723;356;10;32;99.76;126.26;836;939;187;1428612;521.94;390.56;116.09;666.11;338.27;24.23;14.95;120;290.24;738.35;290.24;706.73;321.86;541.02;315.26;172.31;4;3
84257303-d974-495c-9f5d-4a960f05c0dc;series 3 game 2;Rivals Arena;2025-10-28 01:48:22;loss;MUSTY M1LKERS;THE HORNETS;417;0;0;1;3;6;4;0;1070;153.05;5896;3875;2021;49;172;1271;541;730;8;57;97.02;76.5;783;979;258;1450993;484.92;412;128.61;616.9;365.76;42.86;14.86;122;302.22;723.31;302.22;600.8;424.74;425.16;346.04;254.33;3;4
d01015ec-46eb-42ae-8837-28b2949fa7b3;series 3 game 3;Rivals Arena;2025-10-28 01:57:54;loss;THE HORNETS;MUSTY M1LKERS;1092;3;3;3;5;9;6;60;972;158.22;6376;4495;1881;58;159;731;385;346;6;32;132.93;128.38;1156;1223;213;1483175;628.82;395;118.37;749.59;368.49;24.12;18.68;149;335.82;806.39;335.82;813.6;328.59;609.9;380.49;151.81;1;2
d01015ec-46eb-42ae-8837-28b2949fa7b3;series 3 game 3;Rivals Arena;2025-10-28 01:57:54;win;MUSTY M1LKERS;THE HORNETS;1298;6;3;1;9;5;3;66.67;1066;149.05;6634;4803;1831;58;167;1422;1034;388;11;34;107.03;99.75;935;997;71;1518970;592.68;434.29;117.3;715.73;412.04;16.49;17.17;132;257.18;887.09;257.18;784.24;360.03;584.85;331.02;228.42;2;1
a017df01-d9fc-428f-b1eb-84cf6407bf8f;series 3 game 4;Rivals Arena;2025-10-28 02:08:05;win;MUSTY M1LKERS;THE HORNETS;1408;4;1;6;11;9;3;36.36;1055;149.64;8158;6061;2097;71;191;1840;1163;677;14;60;137.44;133.81;1209;1000;238;1812124;703.21;495.91;155.69;858.6;464.51;31.72;22.98;176;315.03;1039.8;315.03;907.81;447.01;701.38;372.78;280.68;3;5
a017df01-d9fc-428f-b1eb-84cf6407bf8f;series 3 game 4;Rivals Arena;2025-10-28 02:08:05;loss;THE HORNETS;MUSTY M1LKERS;1425;3;2;8;9;11;4;33.33;1117;144.57;8335;5776;2559;69;222;1344;735;609;9;53;155.08;154.39;1811;1087;170;1914741;646.17;539.67;173.68;886.15;441.88;31.49;18.42;158;379.6;979.92;379.6;959.56;399.96;751.14;388.99;219.4;5;3
7bfcca1c-d43a-48e3-92ff-ed87b362ca25;series 3 game 5;Rivals Arena;2025-10-28 02:16:32;loss;THE HORNETS;MUSTY M1LKERS;931;2;0;5;8;8;4;25;1053;147.42;6198;4406;1792;57;154;1288;631;657;9;59;133.62;132.32;1306;1364;272;1478717;580.83;385.84;121.43;713.55;356.28;18.28;13.49;110;320.89;767.22;320.89;660.59;427.52;485.88;332.3;269.93;3;2
7bfcca1c-d43a-48e3-92ff-ed87b362ca25;series 3 game 5;Rivals Arena;2025-10-28 02:16:32;win;MUSTY M1LKERS;THE HORNETS;1239;4;4;3;8;8;2;50;1126;135.68;6543;4668;1875;54;165;1146;660;486;8;41;141.77;107.76;818;781;143;1467386;543.38;428.81;111.75;680.35;381.84;21.75;17.72;138;291.28;792.67;291.28;780.1;303.85;620.24;294.24;169.47;2;3
