replay id;replay title;map;date;result;team name;opposing team name;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time in front of ball;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;demos inflicted;demos taken
be5acd02-3380-4a90-a8ff-bc539baf3071;series 4 game 1;Mannfield (Dusk);2025-10-31 01:09:50;win;BMM;BBB;953;4;0;2;6;2;0;66.67;1036;153.87;5778;4012;1766;49;161;1260;755;505;9;47;95.77;98.73;739;925;148;1377206;531.99;385.15;100.11;661.15;336.26;19.85;21.29;166;264.3;752.96;264.3;710.26;306.99;557.52;289.75;169.97;1;3
be5acd02-3380-4a90-a8ff-bc539baf3071;series 4 game 1;Mannfield (Dusk);2025-10-31 01:09:50;loss;BBB;BMM;420;0;0;1;2;6;4;0;1080;146.44;6249;4216;2033;53;182;1533;920;613;11;55;127.21;107.53;698;1138;191;1439435;472.7;451.44;98.51;548.37;428.21;46.07;23.33;248;301.57;721.09;301.57;639.08;383.58;458.5;338.89;225.27;3;1
d7314abc-c515-44a7-89bd-378c678492e0;series 4 game 2;Mannfield (Dusk);2025-10-31 01:19:18;win;BMM;BBB;1282;4;2;4;7;8;2;57.14;996;148.67;6115;4453;1662;51;142;1014;746;268;8;26;117.41;122.22;750;683;63;1415771;586.7;401.91;96;705.15;342.44;37.01;21.68;147;277.29;807.33;277.29;839.13;245.48;661.87;287.05;135.67;0;1
d7314abc-c515-44a7-89bd-378c678492e0;series 4 game 2;Mannfield (Dusk);2025-10-31 01:19:18;loss;BBB;BMM;774;2;0;2;8;7;4;25;1063;146.24;6551;4595;1956;59;172;1320;796;524;10;46;87.91;126.04;639;1315;141;1527802;488.24;490.98;109.2;604.46;432.36;51.6;22.59;252;298.45;789.97;298.45;644.6;443.82;457.1;378.15;253.17;1;0
2501c0a3-a816-4e65-b721-37bf522dac51;series 4 game 3;Mannfield (Dusk);2025-10-31 01:27:55;loss;BMM;BBB;796;2;0;3;4;7;3;50;969;143.13;6567;4533;2034;55;166;895;483;412;6;29;121.26;118.98;605;898;123;1485279;649.95;382.89;108.43;729.74;372.12;39.42;22.89;159;345.56;795.71;345.56;882.6;258.66;730.13;275.15;135.99;3;3
2501c0a3-a816-4e65-b721-37bf522dac51;series 4 game 3;Mannfield (Dusk);2025-10-31 01:27:55;win;BBB;BMM;878;3;2;0;7;4;2;42.86;1116;157.58;7097;4903;2194;61;194;1524;714;810;9;72;99.24;116.77;607;1249;200;1617525;529.78;508.28;106.03;682.88;413.93;47.29;25.65;272;268.37;875.72;268.37;637.28;506.81;412.68;432.63;298.78;3;3
a4b2dda9-9772-407d-90e2-c22bedad3728;series 4 game 4;Mannfield (Dusk);2025-10-31 01:36:06;loss;BMM;BBB;757;1;1;2;7;7;5;14.29;1022;149.49;6260;4493;1767;50;158;1214;758;456;8;45;141.06;94.05;836;551;66;1429801;567.8;400.82;111.51;677.88;370.5;31.74;17.07;134;335.97;744.15;335.97;743.89;336.23;561.87;317.62;200.65;1;2
a4b2dda9-9772-407d-90e2-c22bedad3728;series 4 game 4;Mannfield (Dusk);2025-10-31 01:36:06;win;BBB;BMM;1581;5;4;5;7;7;1;71.43;1052;159.65;6362;4421;1941;57;176;1423;822;601;11;54;63.16;110.91;644;1342;285;1492082;516.37;459.01;106.85;629.26;410.67;42.31;22.56;230;267.55;814.68;267.55;673.23;409.01;497.74;332.19;252.32;2;1
7d0d2225-4a53-4281-a451-e73e3c1054b3;series 4 game 5;Mannfield (Dusk);2025-10-31 01:44:44;win;BMM;BBB;1700;5;3;7;9;10;1;55.56;1063;146.21;6219;4599;1620;53;145;1072;763;309;9;30;135.29;95.57;814;736;143;1435099;569.61;405.32;112.53;698.25;358.69;30.51;19.71;141;266.14;821.32;266.14;809.92;277.49;653.19;266.06;168.2;1;3
7d0d2225-4a53-4281-a451-e73e3c1054b3;series 4 game 5;Mannfield (Dusk);2025-10-31 01:44:44;loss;BBB;BMM;767;1;1;2;10;9;5;10;1116;152.78;6656;4664;1992;59;173;1385;717;668;10;57;128.81;120.55;921;1252;280;1544377;485.09;509.3;103.98;628.64;441.56;28.17;23.89;261;357.45;740.91;357.45;642.38;455.98;464.2;351.12;283.03;3;1
