replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
94f6d19f-e367-4628-b76c-c6de0c3ecfa5;s2 g1;AquaDome (Salty Shallows);2025-11-20 00:49:41;win;WEENIE HUT JRS;MUSTY M1LKERS;Ramen;23;Octane;461;1;2;2;2;5;1;1;50;368;44.64;2462;1963;499;22;43;472;345;127;4;11;38.23;72.5;190;241;54;1557;520423;169.77;47.14;131.36;36.47;59.04;16.39;199.05;55.27;154.17;42.8;6.95;1.93;6.94;0.16;44;136.9;37.71;123.3;33.97;82.53;22.91;277.64;77.09;82.53;22.91;226.75;62.96;133.42;37.04;160.18;44.47;111.52;30.96;88.47;24.56;3509;3528;3506;4121;0;1
94f6d19f-e367-4628-b76c-c6de0c3ecfa5;s2 g1;AquaDome (Salty Shallows);2025-11-20 00:49:41;win;WEENIE HUT JRS;MUSTY M1LKERS;greenarrowspark2;4284;Fennec;104;0;1;0;1;5;1;0;0;258;60.75;1693;1179;514;17;47;305;171;134;2;13;20.94;94.64;60;556;38;1271;416383;244.89;68.98;95.25;26.83;14.86;4.19;258.48;72.81;94.47;26.61;2.05;0.58;5.51;0.13;41;125.6;34.6;77.8;21.43;59;16.62;295.99;83.38;59;16.62;240.64;67.79;114.36;32.21;185.01;52.12;103.79;29.24;66.2;18.65;3526;3798;3057;3840;2;2
94f6d19f-e367-4628-b76c-c6de0c3ecfa5;s2 g1;AquaDome (Salty Shallows);2025-11-20 00:49:41;win;WEENIE HUT JRS;MUSTY M1LKERS;i_have_a_bag;23;Octane;719;4;0;2;5;5;1;0;80;353;56.77;2261;1712;549;23;47;381;167;214;4;18;19.2;32.08;74;592;232;1507;503230;181.73;50.46;150.68;41.84;27.76;7.71;221.07;61.38;121.33;33.69;17.78;4.94;7.07;0.12;61;86.4;23.8;138.4;38.13;75.26;20.9;284.92;79.1;75.26;20.9;192.36;53.41;167.81;46.59;140.95;39.13;110.48;30.67;108.75;30.19;2927;2756;3202;4024;2;1
94f6d19f-e367-4628-b76c-c6de0c3ecfa5;s2 g1;AquaDome (Salty Shallows);2025-11-20 00:49:41;loss;MUSTY M1LKERS;WEENIE HUT JRS;Axim0v;22;Breakout;335;1;0;1;3;8;5;2;33.33;397;39.36;2199;1481;718;17;49;289;100;189;1;16;44.67;39.58;345;220;2;1630;549611;151.66;41.76;144.15;39.69;67.38;18.55;197.17;54.29;146.87;40.44;19.15;5.27;3.58;0.1;37;98.7;27.19;123.4;33.99;135.27;37.24;227.92;62.76;135.27;37.24;262.19;72.19;101;27.81;202.75;55.82;110.24;30.35;50.2;13.82;2903;2434;3181;3690;2;0
94f6d19f-e367-4628-b76c-c6de0c3ecfa5;s2 g1;AquaDome (Salty Shallows);2025-11-20 00:49:41;loss;MUSTY M1LKERS;WEENIE HUT JRS;TheLakeEffekt;23;Octane;152;0;1;0;1;8;5;2;0;293;48.39;1716;1070;646;12;56;60;0;60;0;5;25.08;17.76;70;143;0;1343;441686;215.65;60.54;123.75;34.74;16.82;4.72;241.52;67.8;104.23;29.26;10.47;2.94;4.98;0.14;36;120.9;33.31;124.6;34.33;122.56;34.41;233.65;65.59;122.56;34.41;275.69;77.4;80.52;22.6;208.03;58.4;113.06;31.74;35.13;9.86;3273;3003;3420;3901;1;2
94f6d19f-e367-4628-b76c-c6de0c3ecfa5;s2 g1;AquaDome (Salty Shallows);2025-11-20 00:49:41;loss;MUSTY M1LKERS;WEENIE HUT JRS;Selena Gomez;23;Octane;146;0;0;1;1;8;5;1;0;345;43.1;1909;1270;639;16;56;259;199;60;2;5;53.27;23.61;147;334;0;1434;474435;178.5;49.98;150.1;42.03;28.51;7.98;213.05;59.66;133.96;37.51;10.1;2.83;7.08;0.11;64;127.3;35.07;88.5;24.38;126.61;35.45;230.5;64.55;126.61;35.45;277.65;77.75;79.45;22.25;221.36;61.99;89.22;24.98;46.53;13.03;3083;3060;3098;3644;1;2
97e2806d-7e40-466d-8e96-b136b0708613;s2 g2;AquaDome (Salty Shallows);2025-11-20 00:57:56;win;WEENIE HUT JRS;MUSTY M1LKERS;Ramen;23;Octane;604;2;0;3;4;10;1;0;50;406;49.29;2455;2016;439;25;43;498;323;175;4;17;31.27;88.18;392;516;81;1560;553531;165.16;44.68;143.95;38.94;60.55;16.38;196.25;53.09;150.16;40.62;23.26;6.29;4.06;0.12;35;115.6;30.58;129.7;34.31;112.61;30.46;257.06;69.54;112.61;30.46;251.09;67.92;118.58;32.08;197.39;53.4;100.33;27.14;71.95;19.46;2713;2406;2926;3893;0;3
97e2806d-7e40-466d-8e96-b136b0708613;s2 g2;AquaDome (Salty Shallows);2025-11-20 00:57:56;win;WEENIE HUT JRS;MUSTY M1LKERS;i_have_a_bag;23;Octane;340;0;1;2;2;10;1;1;0;291;56.4;1808;1197;611;15;57;337;183;154;3;14;27.19;38.98;147;344;125;1500;532065;183.55;49.65;143.86;38.91;42.29;11.44;220.11;59.54;121.91;32.98;27.68;7.49;8.04;0.14;57;122.8;32.49;130.2;34.44;100.23;27.11;269.47;72.89;100.23;27.11;242.52;65.6;127.18;34.4;183.7;49.69;113.48;30.7;72.52;19.62;3144;3345;3045;3898;1;3
97e2806d-7e40-466d-8e96-b136b0708613;s2 g2;AquaDome (Salty Shallows);2025-11-20 00:57:56;win;WEENIE HUT JRS;MUSTY M1LKERS;greenarrowspark2;4284;Fennec;218;0;0;1;0;10;1;0;0;261;51.82;1697;1285;412;18;36;122;68;54;2;5;55.17;73.98;244;433;138;1385;498028;207.12;54.69;143.73;37.95;27.9;7.37;258.98;68.38;111.97;29.56;7.79;2.06;5.14;0.11;48;137;36.24;101.3;26.8;108.45;28.63;270.3;71.37;108.45;28.63;287.93;76.02;90.82;23.98;239.53;63.24;83.15;21.95;56.07;14.8;3195;3166;3103;3684;0;0
97e2806d-7e40-466d-8e96-b136b0708613;s2 g2;AquaDome (Salty Shallows);2025-11-20 00:57:56;loss;MUSTY M1LKERS;WEENIE HUT JRS;Axim0v;22;Breakout;298;0;0;1;5;6;2;0;0;418;43.11;2637;1826;811;20;59;747;383;364;4;23;61.67;44.56;527;179;16;1604;583340;147.79;39.02;174.49;46.07;56.47;14.91;239.45;63.22;127.29;33.61;12.01;3.17;6.45;0.12;54;91.4;24.18;142.6;37.72;90.59;23.92;288.16;76.08;90.59;23.92;224.1;59.17;154.65;40.83;164.31;43.38;112.58;29.72;101.86;26.89;3061;3093;2953;4086;3;0
