replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
46428486-b73c-4b48-989b-ec288ae05b33;s6 g1;Sovereign Heights (Dusk);2026-06-09 23:35:44;loss;BEST FRIEND CLUB;GIGAS IN PARIS;greenarrowspark2;23;Octane;148;0;0;2;0;12;4;1;0;362;49.53;2289;1861;428;21;40;328;234;94;3;9;58.62;54.21;252;256;65;1412;484267;205.55;55.19;134.93;36.23;31.93;8.57;242.87;65.22;126.54;33.98;3;0.81;6.68;0.1;70;127.3;34.22;99;26.61;100.77;27.06;271.64;72.94;100.77;27.06;290.63;78.04;81.78;21.96;226.53;60.83;105.65;28.37;40.23;10.8;3259;3383;3146;3607;1;0
46428486-b73c-4b48-989b-ec288ae05b33;s6 g1;Sovereign Heights (Dusk);2026-06-09 23:35:44;loss;BEST FRIEND CLUB;GIGAS IN PARIS;TheLakeEffekt;23;Octane;428;1;1;2;2;12;4;2;50;246;64.67;1573;1076;497;15;48;241;156;85;2;9;5.68;66.76;21;488;56;1267;425048;249.51;68.32;109.89;30.09;5.83;1.6;249.93;68.43;102.98;28.2;12.33;3.38;4.44;0.13;35;136;36.56;107.6;28.92;95.11;26.04;270.12;73.96;95.11;26.04;272.35;74.57;92.88;25.43;212.31;58.13;108.33;29.66;44.59;12.21;3442;3621;3239;3696;0;2
46428486-b73c-4b48-989b-ec288ae05b33;s6 g1;Sovereign Heights (Dusk);2026-06-09 23:35:44;loss;BEST FRIEND CLUB;GIGAS IN PARIS;i_have_a_bag;23;Octane;642;2;0;3;2;12;4;1;100;298;48.41;1886;1124;762;14;68;327;135;192;3;17;20.35;29.98;110;307;167;1489;505522;179.46;48.62;148.14;40.14;41.5;11.24;198.41;53.76;166.63;45.14;4.06;1.1;6.65;0.12;56;85.8;23.06;135.9;36.53;119.21;32.3;249.9;67.7;119.21;32.3;260.16;70.48;108.95;29.52;203.47;55.13;96.59;26.17;69.04;18.7;2482;2387;2595;3563;1;1
46428486-b73c-4b48-989b-ec288ae05b33;s6 g1;Sovereign Heights (Dusk);2026-06-09 23:35:44;win;GIGAS IN PARIS;BEST FRIEND CLUB;Ax1mov;4284;Fennec;408;2;0;0;7;4;3;1;28.57;427;50.53;2651;1978;673;24;59;653;485;168;7;16;27.22;26.34;653;430;223;1641;557976;149.18;40.39;151.75;41.08;68.45;18.53;233.91;63.33;127.9;34.63;7.57;2.05;5.13;0.1;49;110.6;29.73;106.2;28.55;92.37;25.01;277.01;74.99;92.37;25.01;231.66;62.71;137.73;37.29;180.95;48.99;98.1;26.56;90.34;24.46;3171;3240;3099;3912;1;1
46428486-b73c-4b48-989b-ec288ae05b33;s6 g1;Sovereign Heights (Dusk);2026-06-09 23:35:44;win;GIGAS IN PARIS;BEST FRIEND CLUB;Mastergiga9;23;Octane;140;0;1;0;0;4;3;2;0;332;42.13;1972;1216;756;13;61;320;99;221;1;19;37.23;33.77;474;112;6;1460;496064;181.53;49.14;148.52;40.21;39.34;10.65;228.16;61.77;129.27;35;11.96;3.24;6.11;0.16;38;131.9;35.46;103.6;27.85;102.1;27.64;267.29;72.36;102.1;27.64;235.5;63.75;133.89;36.25;176.59;47.8;117.07;31.69;75.74;20.5;3284;3355;3236;3887;0;1
46428486-b73c-4b48-989b-ec288ae05b33;s6 g1;Sovereign Heights (Dusk);2026-06-09 23:35:44;win;GIGAS IN PARIS;BEST FRIEND CLUB;selena.;4284;Fennec;408;2;0;1;5;4;3;0;40;418;47.31;2617;1861;756;23;60;611;445;166;6;14;43.4;61.75;347;450;157;1558;534316;159.9;42.94;166.43;44.69;46.08;12.37;232.66;62.48;131.81;35.39;7.93;2.13;7.12;0.09;80;103.1;27.72;132.7;35.67;93.15;25.01;279.26;74.99;93.15;25.01;239.41;64.29;133;35.71;176.28;47.34;113.82;30.56;82.3;22.1;3197;3239;3146;3938;2;0
ae3a3d48-c4be-4fd5-a730-44a9b0a05bf4;g2;Sovereign Heights (Dusk);2026-06-09 23:43:31;loss;BEST FRIEND CLUB;GIGAS IN PARIS;greenarrowspark2;23;Octane;108;0;0;0;1;9;4;3;0;347;46.82;1864;1091;773;14;48;518;180;338;2;14;62.88;47.84;190;319;20;1435;460471;172.94;50.53;134.45;39.28;34.88;10.19;212.9;62.2;122.9;35.91;6.47;1.89;5.35;0.1;51;108.8;31.81;113;33.04;107.62;31.44;234.65;68.56;107.62;31.44;221.3;64.66;120.97;35.34;172.19;50.31;106.22;31.03;63.86;18.66;3247;3286;3243;3789;1;0
ae3a3d48-c4be-4fd5-a730-44a9b0a05bf4;g2;Sovereign Heights (Dusk);2026-06-09 23:43:31;loss;BEST FRIEND CLUB;GIGAS IN PARIS;i_have_a_bag;23;Octane;218;0;0;1;1;9;4;0;0;283;51.47;1499;848;651;11;59;183;0;183;0;17;33.35;21.3;68;290;15;1464;471871;168.34;49.18;156.01;45.58;17.93;5.24;202.61;59.2;127.89;37.37;11.77;3.44;8.14;0.14;60;120.2;35.15;104.7;30.61;99.74;29.14;242.54;70.86;99.74;29.14;230.76;67.42;111.52;32.58;177.28;51.8;101.9;29.77;63.09;18.43;3098;2814;3356;3824;1;0
ae3a3d48-c4be-4fd5-a730-44a9b0a05bf4;g2;Sovereign Heights (Dusk);2026-06-09 23:43:31;loss;BEST FRIEND CLUB;GIGAS IN PARIS;TheLakeEffekt;23;Octane;297;0;0;3;0;9;4;1;0;318;59.75;1851;1125;726;15;45;399;119;280;2;18;43.68;59.6;124;347;89;1379;444364;185.42;54.2;143.23;41.87;13.44;3.93;217.47;63.57;105.73;30.91;18.9;5.52;3.99;0.13;31;97.6;28.54;107.5;31.43;94.14;27.52;247.95;72.48;94.14;27.52;217.71;63.64;124.38;36.36;167.32;48.91;108.09;31.6;66.68;19.49;3056;2902;3138;3771;0;0
ae3a3d48-c4be-4fd5-a730-44a9b0a05bf4;g2;Sovereign Heights (Dusk);2026-06-09 23:43:31;win;GIGAS IN PARIS;BEST FRIEND CLUB;Ax1mov;4284;Fennec;264;0;1;0;2;2;0;0;0;406;48.81;2451;1667;784;19;56;635;479;156;5;14;39.82;22.96;539;245;28;1630;528080;132.92;38.8;145.15;42.37;64.48;18.82;204.01;59.55;123.22;35.97;15.33;4.48;5.41;0.1;54;89.1;26.05;133.6;39.06;93.58;27.32;248.97;72.68;93.58;27.32;218.06;63.66;124.49;36.34;173.51;50.65;85.47;24.95;83.57;24.4;3261;3211;3351;3960;0;0
