replay id;replay title;map;date;result;team name;opposing team name;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time in front of ball;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;demos inflicted;demos taken
822db1e1-6e9e-49a9-b719-21a677a27676;qw hlb gg4;AquaDome (Salty Shallows);2026-06-12 00:49:09;loss;HL & BLINKER;QUACK WOK;901;1;1;6;4;8;2;25;1073;161.73;5925;4353;1572;54;139;2103;1552;551;18;49;79.45;136.53;719;1080;259;1414423;480.71;386.3;126.49;570.54;384.55;38.42;15.81;170;269.31;724.2;269.31;586.11;407.39;417.58;328.16;247.75;3;2
822db1e1-6e9e-49a9-b719-21a677a27676;qw hlb gg4;AquaDome (Salty Shallows);2026-06-12 00:49:09;win;QUACK WOK;HL & BLINKER;977;2;2;3;8;4;1;25;965;148.95;5414;3668;1746;43;154;1070;651;419;7;36;114.6;86.76;570;698;67;1353370;520.9;383.54;86.03;621.29;348.01;21.16;22.38;151;266.39;724.09;266.39;707.3;283.16;537.22;313.31;139.93;2;3
981c61ca-44f0-4ee8-ad86-94ad538bf4ef;qw hlb g5;AquaDome (Salty Shallows);2026-06-12 00:56:43;loss;QUACK WOK;HL & BLINKER;710;1;1;2;7;5;3;14.29;1077;130.05;5841;3842;1999;44;164;1567;965;602;12;52;156.3;71.26;704;596;247;1398618;518.49;405.24;97.19;640.6;346.42;33.89;23.09;147;288.48;732.43;288.48;615.59;405.28;460.72;307.8;252.4;2;2
981c61ca-44f0-4ee8-ad86-94ad538bf4ef;qw hlb g5;AquaDome (Salty Shallows);2026-06-12 00:56:43;win;HL & BLINKER;QUACK WOK;1003;3;1;4;5;7;1;60;1063;149.19;5920;4245;1675;51;147;1456;971;485;12;47;104.93;109.21;834;893;256;1453863;487.31;405.3;131.63;565.77;418.43;40.05;15.65;158;315.68;708.57;315.68;655.08;369.16;493.64;296.41;234.18;2;2
d7651745-5861-4e37-ab08-59d335b92b86;qw hlb g1;AquaDome (Salty Shallows);2026-06-12 00:26:05;win;HL & BLINKER;QUACK WOK;1083;3;1;4;6;9;2;50;1047;169.73;6195;4388;1807;55;160;1661;1215;446;14;39;77.4;160.47;558;1229;182;1513268;481.45;413.06;155.45;604.1;413.13;32.72;18.39;188;281.33;768.63;281.33;683.95;366.01;514.66;320.28;215.01;3;1
d7651745-5861-4e37-ab08-59d335b92b86;qw hlb g1;AquaDome (Salty Shallows);2026-06-12 00:26:05;loss;QUACK WOK;HL & BLINKER;949;2;2;3;9;6;3;22.22;1004;134.94;5794;3896;1898;46;159;1135;655;480;8;42;116.68;89.52;1036;716;143;1390537;553.02;391.3;98.24;675.17;337.17;30.24;23.57;151;301.85;740.73;301.85;697.56;345.02;550.15;276.37;216.06;1;3
857eff1a-48e0-47b9-b684-6f81bb03ef3f;qw hlb g2;AquaDome (Salty Shallows);2026-06-12 00:33:41;loss;HL & BLINKER;QUACK WOK;898;1;1;2;10;4;2;10;1106;169.24;6746;4777;1969;59;172;1726;1227;499;15;47;75.87;152.09;641;1217;283;1640327;456.68;474.98;160.48;617.32;432.19;42.61;18.53;201;342.17;749.97;342.17;657.66;434.48;488.09;326.99;277.07;1;0
857eff1a-48e0-47b9-b684-6f81bb03ef3f;qw hlb g2;AquaDome (Salty Shallows);2026-06-12 00:33:41;win;QUACK WOK;HL & BLINKER;1250;2;2;7;4;10;1;50;896;129.77;5218;3086;2132;35;170;875;500;375;5;33;112.83;67.54;481;436;0;1408161;633.77;384.19;70.65;700.17;351.69;36.75;23.56;154;265.4;823.22;265.4;789.08;299.54;613.51;298.68;176.42;0;1
d673a04b-2201-4b7d-8d92-e56ad36bd8a5;qw hlb g3;AquaDome (Salty Shallows);2026-06-12 00:41:48;win;HL & BLINKER;QUACK WOK;1065;4;1;2;9;5;1;44.44;1107;151.72;6401;4577;1824;58;163;1137;645;492;9;45;107.34;132.29;723;1296;288;1508725;473.6;432.58;141.33;613.89;403.89;29.74;17.15;177;268.69;778.81;268.69;651.14;396.37;484.95;336.46;226.08;4;3
d673a04b-2201-4b7d-8d92-e56ad36bd8a5;qw hlb g3;AquaDome (Salty Shallows);2026-06-12 00:41:48;loss;QUACK WOK;HL & BLINKER;831;1;0;6;5;9;4;20;1018;137.39;5662;4037;1625;51;143;1173;785;388;9;35;135.69;77.74;494;977;113;1412561;525.17;415.97;98.71;636.05;369.22;34.58;20.87;136;336.93;702.92;336.93;730.74;309.1;559.86;300.15;179.84;3;4
