replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
8f7efe92-7e5a-4f35-b82c-3125ea1d6641;g1 sa;;2026-06-15 21:19:06;loss;SPIRIT AIRLINES;GIGAS IN PARIS;GTdail;403;Dominus;230;0;0;2;1;8;2;0;0;324;51.06;1888;1265;623;16;54;468;277;191;3;17;24.08;37.42;538;337;22;1487;463556;157.65;48.16;125.95;38.47;43.77;13.37;233.69;71.38;89.53;27.35;4.15;1.27;4.8;0.1;46;110.5;32.89;100.2;29.82;99.49;30.39;227.88;69.61;99.49;30.39;218.86;66.86;108.5;33.14;173.49;53;93.59;28.59;60.29;18.42;3020;3134;2969;3744;0;2
8f7efe92-7e5a-4f35-b82c-3125ea1d6641;g1 sa;;2026-06-15 21:19:06;loss;SPIRIT AIRLINES;GIGAS IN PARIS;JulietAlphaRomeo;4284;Fennec;382;0;1;2;2;8;2;0;0;412;50.81;2331;1722;609;21;54;607;455;152;5;13;49.11;27.25;242;377;44;1550;493039;157.96;47.41;133;39.92;42.23;12.67;198.16;59.47;123.93;37.19;11.1;3.33;8.48;0.11;76;102.1;30.39;125.3;37.29;89.84;26.96;243.35;73.04;89.84;26.96;230.34;69.13;102.85;30.87;168.6;50.6;103.92;31.19;60.67;18.21;2790;2783;2771;3729;1;1
8f7efe92-7e5a-4f35-b82c-3125ea1d6641;g1 sa;;2026-06-15 21:19:06;loss;SPIRIT AIRLINES;GIGAS IN PARIS;MadJanitor88;4284;Fennec;202;1;0;0;2;8;2;2;50;262;55.27;1406;1055;351;15;31;135;43;92;2;8;46.42;65.05;237;453;156;1451;462295;162.86;48.85;148.14;44.43;22.41;6.72;192.76;57.81;133.29;39.98;7.36;2.21;3.02;0.13;24;116.4;34.64;95.8;28.51;101.99;30.59;231.42;69.41;101.99;30.59;240.01;71.99;93.39;28.01;186.09;55.81;94.63;28.38;52.69;15.8;3132;3103;3216;3734;1;1
8f7efe92-7e5a-4f35-b82c-3125ea1d6641;g1 sa;;2026-06-15 21:19:06;win;GIGAS IN PARIS;SPIRIT AIRLINES;Ax1mov;4284;Fennec;342;0;1;1;3;5;1;1;0;438;53.98;2412;1907;505;24;46;644;447;197;5;18;34.27;30.42;380;510;60;1680;539435;110.93;33.02;156.46;46.57;68.55;20.41;202.94;60.41;113.94;33.92;19.05;5.67;4.69;0.09;50;93.6;27.86;122.2;36.37;107.66;32.05;228.28;67.95;107.66;32.05;189.5;56.41;146.44;43.59;144.49;43.01;98.03;29.18;93.4;27.8;3089;2611;3604;3922;1;0
8f7efe92-7e5a-4f35-b82c-3125ea1d6641;g1 sa;;2026-06-15 21:19:06;win;GIGAS IN PARIS;SPIRIT AIRLINES;Mastergiga9;23;Octane;94;0;0;0;1;5;1;0;0;265;43.23;1487;704;783;8;72;310;129;181;2;16;39.92;11.69;168;95;70;1458;463825;156.03;46.8;155.64;46.68;21.76;6.53;219.08;65.7;104.63;31.38;9.72;2.92;6.16;0.18;35;114.4;34.05;102.5;30.51;88.98;26.69;244.45;73.31;88.98;26.69;210.91;63.25;122.52;36.75;149.56;44.85;112.8;33.83;71.07;21.31;3029;3119;2944;3917;1;1
8f7efe92-7e5a-4f35-b82c-3125ea1d6641;g1 sa;;2026-06-15 21:19:06;win;GIGAS IN PARIS;SPIRIT AIRLINES;selena.;4284;Fennec;429;2;0;1;4;5;1;0;50;431;55.82;2397;2007;390;25;36;471;372;99;4;9;26.69;38.4;370;501;27;1451;462181;165.87;49.75;127.29;38.18;40.25;12.07;212.84;63.84;119.3;35.78;1.27;0.38;7.25;0.11;65;119.9;35.68;96.6;28.75;77.57;23.27;255.84;76.73;77.57;23.27;207.57;62.26;125.83;37.74;149.44;44.82;117.56;35.26;66.41;19.92;3303;3555;3119;3989;2;1
592a1a0b-a236-494f-84a5-9ecba288c986;g2 sa;;2026-06-15 21:27:33;loss;SPIRIT AIRLINES;GIGAS IN PARIS;GTdail;403;Dominus;519;1;0;3;2;11;4;1;50;301;39.73;1811;1171;640;15;48;316;148;168;2;14;38.19;48.32;375;328;51;1447;479520;186.3;52.7;145.9;41.27;21.33;6.03;233.71;66.11;109.02;30.84;10.8;3.05;7.26;0.11;65;123.3;34.63;98.4;27.64;107.18;30.32;246.35;69.68;107.18;30.32;261.54;73.98;91.99;26.02;205.65;58.17;99.78;28.22;48.1;13.61;2476;2380;2581;3339;1;0
592a1a0b-a236-494f-84a5-9ecba288c986;g2 sa;;2026-06-15 21:27:33;loss;SPIRIT AIRLINES;GIGAS IN PARIS;MadJanitor88;4284;Fennec;36;0;0;0;0;11;4;2;0;270;51.27;1532;972;560;12;42;113;0;113;0;10;31.53;57.35;344;241;0;1483;489886;162.61;46.1;155.98;44.22;34.16;9.68;226.06;64.09;125.18;35.49;1.51;0.43;3.77;0.15;25;88.7;24.92;111.9;31.43;122.94;34.85;229.81;65.15;122.94;34.85;232.7;65.97;120.05;34.03;180.1;51.06;103.53;29.35;69.12;19.59;3214;3062;3426;3389;2;1
592a1a0b-a236-494f-84a5-9ecba288c986;g2 sa;;2026-06-15 21:27:33;loss;SPIRIT AIRLINES;GIGAS IN PARIS;JulietAlphaRomeo;4284;Fennec;276;0;0;2;0;11;4;1;0;458;56.05;2847;2229;618;27;48;181;98;83;1;7;31.26;55.66;293;486;1;1530;510792;164.62;46.21;141.7;39.78;49.93;14.02;178.63;50.14;158.02;44.36;19.6;5.5;6.59;0.11;59;124.4;34.94;120.5;33.85;98.61;27.68;257.64;72.32;98.61;27.68;254.54;71.45;101.72;28.55;201.87;56.67;91.18;25.59;63.2;17.74;2704;2513;2708;3441;0;0
592a1a0b-a236-494f-84a5-9ecba288c986;g2 sa;;2026-06-15 21:27:33;win;GIGAS IN PARIS;SPIRIT AIRLINES;Ax1mov;4284;Fennec;492;1;2;0;5;2;1;0;20;433;50.06;2415;1891;524;23;46;677;457;220;6;19;34.18;35.06;473;418;142;1648;541003;134.72;38.47;147.55;42.14;67.9;19.39;211.94;60.52;123.38;35.23;14.85;4.24;5.42;0.11;50;97.2;27.3;140.8;39.55;78.28;22.35;271.89;77.65;78.28;22.35;211.58;60.42;138.59;39.58;154.67;44.17;103.07;29.43;92.43;26.4;2971;2553;3418;3963;1;2
