replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
e1edfd9e-d0a9-4fd8-9bb2-76d0a3ef97f8;g1;Salty Shores (Salty Fest);2026-06-09 00:16:35;loss;SPIRIT AIRLINES;GIGA'S IN PARIS;MadJanitor88;30;Merc;120;0;0;0;0;8;3;0;0;313;49.45;1947;1533;414;18;37;379;259;120;3;11;39.81;62.5;676;269;40;1517;520315;167.3;46.26;157.33;43.5;37.06;10.25;241.33;66.72;116.17;32.12;4.19;1.16;4.56;0.14;32;107.6;29.81;134.4;37.23;115.29;31.87;246.41;68.13;115.29;31.87;247.65;68.47;114.05;31.53;167.07;46.19;139.3;38.51;55.32;15.29;3084;2862;3273;3715;2;0
e1edfd9e-d0a9-4fd8-9bb2-76d0a3ef97f8;g1;Salty Shores (Salty Fest);2026-06-09 00:16:35;loss;SPIRIT AIRLINES;GIGA'S IN PARIS;GTdail;403;Dominus;174;0;0;0;4;8;3;0;0;350;54.4;2115;1341;774;16;61;250;100;150;1;14;21.77;41.28;537;270;0;1508;511632;154.02;43.04;161.83;45.23;41.97;11.73;243.62;68.08;107.97;30.17;6.23;1.74;8.13;0.11;76;95.3;26.4;108.5;30.06;115.64;32.32;242.18;67.68;115.64;32.32;230.86;64.52;126.97;35.48;169.34;47.32;117.73;32.9;70.76;19.77;2918;2825;3019;3564;1;1
e1edfd9e-d0a9-4fd8-9bb2-76d0a3ef97f8;g1;Salty Shores (Salty Fest);2026-06-09 00:16:35;loss;SPIRIT AIRLINES;GIGA'S IN PARIS;JulietAlphaRomeo;4284;Fennec;437;0;0;3;2;8;3;3;0;427;50.7;2481;1758;723;19;59;398;187;211;2;12;34.93;49.37;209;169;12;1576;536314;153.3;42.72;165.77;46.19;39.78;11.09;211.92;59.06;126.13;35.15;20.8;5.8;9.71;0.13;73;147.1;40.75;100.2;27.76;93.64;26.09;265.21;73.91;93.64;26.09;265.13;73.88;93.72;26.12;207.41;57.8;100.52;28.01;50.93;14.19;2869;2761;2980;3713;0;1
e1edfd9e-d0a9-4fd8-9bb2-76d0a3ef97f8;g1;Salty Shores (Salty Fest);2026-06-09 00:16:35;win;GIGA'S IN PARIS;SPIRIT AIRLINES;Mastergiga9;23;Octane;122;0;0;1;1;6;0;0;0;242;51.57;1549;920;629;12;50;307;260;47;3;4;27.68;32.65;119;288;40;1357;436870;190.62;53.56;152.61;42.88;12.65;3.55;247.08;69.43;104.22;29.29;4.57;1.28;6.68;0.17;39;142.4;39.45;105.5;29.22;66.52;18.69;289.35;81.31;66.52;18.69;251.09;70.56;104.74;29.44;190.34;53.49;109.47;30.76;56.06;15.75;3226;3359;3115;3971;0;2
e1edfd9e-d0a9-4fd8-9bb2-76d0a3ef97f8;g1;Salty Shores (Salty Fest);2026-06-09 00:16:35;win;GIGA'S IN PARIS;SPIRIT AIRLINES;diastriko;23;Octane;528;2;1;0;4;6;0;0;50;460;54.67;2855;2301;554;30;50;727;491;236;6;21;20.71;53.41;788;714;109;1669;572373;129.35;35.74;164.19;45.37;68.34;18.88;221.03;61.08;117.63;32.51;23.22;6.42;6.13;0.14;44;89.6;24.82;143.1;39.64;84.31;23.3;277.57;76.7;84.31;23.3;231.34;63.93;130.53;36.07;163.99;45.32;107.93;29.82;89.96;24.86;2833;2377;3368;4119;0;0
e1edfd9e-d0a9-4fd8-9bb2-76d0a3ef97f8;g1;Salty Shores (Salty Fest);2026-06-09 00:16:35;win;GIGA'S IN PARIS;SPIRIT AIRLINES;selena.;4284;Fennec;488;1;0;3;3;6;0;0;33.33;379;48.06;2409;1871;538;21;47;370;181;189;2;17;51.38;58.31;418;239;18;1474;501287;169.31;47.18;136.59;38.06;52.96;14.76;220.42;61.42;126.7;35.31;11.73;3.27;6.06;0.09;64;117.1;32.44;109.8;30.42;89.36;24.9;269.49;75.1;89.36;24.9;235.32;65.57;123.54;34.43;188.47;52.52;93.97;26.19;76.42;21.3;3674;3824;3511;4223;2;1
dc6c3675-d1eb-4fcd-8b07-e48796fe8490;g2;Salty Shores (Salty Fest);2026-06-09 00:24:26;loss;SPIRIT AIRLINES;GIGA'S IN PARIS;MadJanitor88;30;Merc;250;1;1;0;2;9;5;1;50;290;44.08;1902;1268;634;16;57;448;300;148;3;13;47.17;37.42;510;338;0;1508;522898;172.57;45.4;168.67;44.37;38.87;10.23;263.28;69.26;110.5;29.07;6.33;1.67;2.8;0.14;20;128.6;33.58;94;24.54;117.61;30.94;262.51;69.06;117.61;30.94;272.9;71.8;107.21;28.2;218.37;57.45;99.7;26.23;62.05;16.32;3394;3005;3644;3641;3;1
dc6c3675-d1eb-4fcd-8b07-e48796fe8490;g2;Salty Shores (Salty Fest);2026-06-09 00:24:26;loss;SPIRIT AIRLINES;GIGA'S IN PARIS;GTdail;403;Dominus;340;1;1;1;3;9;5;0;33.33;293;50.76;2146;1525;621;18;54;398;187;211;2;19;23.28;60.31;375;287;22;1425;491156;216.04;57.12;127.17;33.62;35.01;9.26;251.48;66.49;120.89;31.96;5.84;1.54;5.2;0.09;57;100.6;26.27;148.4;38.75;136.64;36.13;241.57;63.87;136.64;36.13;267.9;70.83;110.31;29.17;199.78;52.82;108.32;28.64;70.11;18.54;2997;2694;3179;3746;0;1
dc6c3675-d1eb-4fcd-8b07-e48796fe8490;g2;Salty Shores (Salty Fest);2026-06-09 00:24:26;loss;SPIRIT AIRLINES;GIGA'S IN PARIS;JulietAlphaRomeo;4284;Fennec;541;1;0;3;5;9;5;4;20;407;51.45;2683;2014;669;23;53;604;459;145;5;14;55.61;49.4;300;291;40;1489;520548;194.29;50.7;141.77;37;47.13;12.3;223.97;58.45;146.92;38.34;12.29;3.21;10.61;0.12;87;130.3;34.02;107.1;27.96;112.26;29.3;270.92;70.7;112.26;29.3;285.06;74.39;98.12;25.61;231.06;60.3;92.7;24.19;59.43;15.51;2689;2728;2683;3725;3;0
dc6c3675-d1eb-4fcd-8b07-e48796fe8490;g2;Salty Shores (Salty Fest);2026-06-09 00:24:26;win;GIGA'S IN PARIS;SPIRIT AIRLINES;diastriko;23;Octane;661;3;1;1;6;10;3;0;50;385;48.43;2415;1729;686;21;56;730;487;243;7;22;32.56;46.22;443;382;218;1655;573492;136.59;35.93;172.67;45.42;70.9;18.65;224.4;59.03;138.42;36.41;17.34;4.56;2.79;0.08;34;110.5;28.85;153.6;40.1;83.69;22.01;296.47;77.99;83.69;22.01;235.28;61.89;144.87;38.11;177.82;46.78;108.24;28.47;94.1;24.75;3593;3370;3868;4072;1;1
dc6c3675-d1eb-4fcd-8b07-e48796fe8490;g2;Salty Shores (Salty Fest);2026-06-09 00:24:26;win;GIGA'S IN PARIS;SPIRIT AIRLINES;Mastergiga9;23;Octane;378;0;1;4;1;10;3;1;0;284;47.39;1707;1004;703;12;63;143;0;143;0;13;8.41;25.35;100;211;10;1366;461446;210.73;56.56;146.03;39.2;15.81;4.24;252.78;67.85;107.62;28.89;12.16;3.26;7.99;0.21;38;141.6;36.97;86.8;22.66;66.8;17.93;305.77;82.07;66.8;17.93;255.28;68.52;117.28;31.48;202.2;54.27;96.75;25.97;73.61;19.76;3281;3548;2874;3652;1;3
dc6c3675-d1eb-4fcd-8b07-e48796fe8490;g2;Salty Shores (Salty Fest);2026-06-09 00:24:26;win;GIGA'S IN PARIS;SPIRIT AIRLINES;selena.;4284;Fennec;495;2;1;1;2;10;3;2;100;375;56.8;2188;1647;541;24;53;519;361;158;6;17;38.05;66.31;541;763;251;1449;491901;195.1;52.31;133.8;35.87;44.09;11.82;245.98;65.95;119.82;32.12;7.19;1.93;6.78;0.11;63;114.5;29.9;114.7;29.95;77.5;20.78;295.49;79.22;77.5;20.78;226.89;60.83;146.1;39.17;173.37;46.48;117.09;31.39;82.53;22.13;2987;2927;2997;3851;0;2
7c1a3e39-399a-457c-b9f9-fcbab51d1345;g3;Salty Shores (Salty Fest);2026-06-09 00:32:42;loss;SPIRIT AIRLINES;GIGA'S IN PARIS;GTdail;403;Dominus;202;0;1;0;1;12;7;4;0;380;46.4;2368;1697;671;19;55;166;83;83;1;7;33.87;35.72;461;215;16;1496;511928;171.18;45.96;169.52;45.52;31.74;8.52;268.32;72.05;92.15;24.74;11.96;3.21;8.07;0.11;74;139.2;36.83;102.9;27.22;105.46;28.32;266.97;71.68;105.46;28.32;263.42;70.73;109.01;29.27;179.76;48.27;131.34;35.27;61.33;16.47;2814;2530;3055;3579;1;1
