replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
3244c8f0-b1c2-4176-b412-06db55c71fac;g1;;2026-06-16 23:40:06;loss;ESC;GIGA'S IN PARIS;Clamp2much;4284;Fennec;88;0;0;0;1;3;2;1;0;300;57.83;1704;1237;467;15;43;112;0;112;0;10;34.45;86.49;197;296;8;1421;489411;195.08;54.26;135.37;37.65;29.09;8.09;225.02;62.59;127.98;35.6;6.53;1.82;3.66;0.18;20;140.4;38.78;88.3;24.39;105.66;29.39;253.87;70.61;105.66;29.39;249.46;69.38;110.08;30.62;195.37;54.34;100.33;27.91;63.83;17.75;2827;2868;2843;3361;0;1
3244c8f0-b1c2-4176-b412-06db55c71fac;g1;;2026-06-16 23:40:06;loss;ESC;GIGA'S IN PARIS;EPo -_-;23;Octane;340;0;1;1;4;3;2;1;0;474;43.05;2630;1807;823;20;72;517;272;245;3;21;33.45;23.6;340;192;27;1671;575835;132.35;36.82;149.88;41.69;77.24;21.49;189.59;52.74;148.27;41.25;21.62;6.01;7;0.13;54;88.4;24.42;143.1;39.53;107.69;29.96;251.79;70.04;107.69;29.96;229.75;63.91;129.73;36.09;172.73;48.05;108.14;30.08;78.61;21.87;2616;2275;2968;3501;2;1
3244c8f0-b1c2-4176-b412-06db55c71fac;g1;;2026-06-16 23:40:06;loss;ESC;GIGA'S IN PARIS;SirSkittleZ;23;Octane;188;1;0;0;1;3;2;0;100;324;44.42;1991;1320;671;15;57;326;176;150;2;13;34.32;36.19;162;179;23;1418;492811;184.98;51.03;146.82;40.5;30.72;8.47;230.11;63.48;125.52;34.62;6.89;1.9;3.6;0.12;29;121.3;33.51;112.9;31.19;125.13;34.52;237.39;65.48;125.13;34.52;246.07;67.88;116.45;32.12;186.07;51.33;106.34;29.33;70.11;19.34;2778;2682;2719;3364;1;0
3244c8f0-b1c2-4176-b412-06db55c71fac;g1;;2026-06-16 23:40:06;win;GIGA'S IN PARIS;ESC;Axim0v;4284;Fennec;437;2;0;0;2;6;1;1;100;428;48.2;2508;1980;528;23;45;414;290;124;3;11;52.68;28.32;482;320;9;1657;576182;130.18;35.91;171.82;47.39;60.53;16.7;208.9;57.62;142.74;39.37;10.88;3;7.12;0.12;58;111.8;30.88;100.3;27.71;75.93;20.95;286.59;79.05;75.93;20.95;247.07;68.15;115.45;31.85;191.03;52.7;106.06;29.26;65.43;18.05;3092;2950;3290;3908;0;0
3244c8f0-b1c2-4176-b412-06db55c71fac;g1;;2026-06-16 23:40:06;win;GIGA'S IN PARIS;ESC;selena.;4284;Fennec;257;0;0;2;0;6;1;0;0;383;53.89;2310;1625;685;19;58;558;400;158;4;14;39.32;47.07;167;303;0;1447;486063;165.74;47.22;141.17;40.22;44.11;12.57;227.93;64.93;116.87;33.29;6.22;1.77;9.57;0.14;70;126.5;34.94;124.6;34.42;77.25;22.01;273.77;77.99;77.25;22.01;220.26;62.75;130.76;37.25;158.52;45.16;129.63;36.93;62.86;17.91;3198;3189;3154;4070;2;3
3244c8f0-b1c2-4176-b412-06db55c71fac;g1;;2026-06-16 23:40:06;win;GIGA'S IN PARIS;ESC;Mastergiga9;23;Octane;116;0;0;0;1;6;1;0;0;322;57.68;2118;1496;622;19;56;384;169;215;2;18;26.74;48.12;227;438;31;1456;506061;165.76;45.72;164.57;45.4;32.19;8.88;226.78;62.56;126.82;34.98;8.92;2.46;7.2;0.23;31;111.9;30.91;119.4;32.98;103.05;28.43;259.47;71.57;103.05;28.43;221.45;61.09;141.07;38.91;167.73;46.27;103.88;28.65;90.92;25.08;3078;2821;3233;3831;0;0
2af931ff-d0c1-409d-9f01-2510eb2dcb29;g2;;2026-06-16 23:47:19;loss;ESC;GIGA'S IN PARIS;EPo -_-;23;Octane;331;1;0;1;3;8;3;0;33.33;516;45.76;3044;2507;537;28;46;635;455;180;5;16;54.59;37.51;460;305;53;1635;525908;127.6;37.52;144.7;42.55;67.77;19.93;184.64;54.29;133.11;39.14;22.32;6.56;6.46;0.12;54;68.5;19.63;151.7;43.47;112.8;33.17;227.27;66.83;112.8;33.17;212.91;62.61;127.15;37.39;154.28;45.37;105.07;30.9;80.72;23.74;2550;2042;3075;3694;2;3
2af931ff-d0c1-409d-9f01-2510eb2dcb29;g2;;2026-06-16 23:47:19;loss;ESC;GIGA'S IN PARIS;Clamp2much;4284;Fennec;449;1;0;3;2;8;3;2;50;322;49.39;1769;1318;451;16;40;327;244;83;3;7;32.51;70.58;273;215;55;1362;441906;210.71;61.42;107.72;31.4;24.64;7.18;227.29;66.25;108.71;31.69;7.06;2.06;2.7;0.21;13;135.1;38.71;74.8;21.43;69.15;20.16;273.91;79.84;69.15;20.16;250.44;73;92.62;27;200.73;58.51;90.47;26.37;51.86;15.12;2808;3045;2555;3556;2;2
2af931ff-d0c1-409d-9f01-2510eb2dcb29;g2;;2026-06-16 23:47:19;loss;ESC;GIGA'S IN PARIS;SirSkittleZ;23;Octane;286;0;1;1;3;8;3;1;0;343;53.16;1907;1576;331;18;31;351;275;76;3;8;48.55;44.82;232;236;24;1443;476971;172.22;49.33;146.27;41.9;30.63;8.77;216.26;61.94;128.13;36.7;4.74;1.36;4.12;0.16;25;129.4;37.08;106.5;30.52;101.16;28.97;247.97;71.03;101.16;28.97;254.9;73.01;94.22;26.99;195.68;56.05;97.36;27.89;56.09;16.07;3398;3585;3218;3728;0;0
2af931ff-d0c1-409d-9f01-2510eb2dcb29;g2;;2026-06-16 23:47:19;win;GIGA'S IN PARIS;ESC;Axim0v;4284;Fennec;585;2;1;2;4;8;2;1;50;444;48.5;2330;1721;609;21;53;671;448;223;5;20;31.24;39.86;519;391;52;1704;546654;109.61;32.24;159.44;46.89;70.98;20.87;192.67;56.66;132.54;38.98;14.81;4.36;5.21;0.12;43;111.8;32.03;112.6;32.26;85.82;25.24;254.21;74.76;85.82;25.24;219.84;64.66;120.18;35.34;163.59;48.11;99.46;29.25;76.97;22.64;3063;2575;3535;3899;1;3
2af931ff-d0c1-409d-9f01-2510eb2dcb29;g2;;2026-06-16 23:47:19;win;GIGA'S IN PARIS;ESC;Mastergiga9;23;Octane;205;0;1;1;3;8;2;1;0;299;43.51;1702;863;839;11;74;200;0;200;0;18;35.37;14.89;219;147;0;1439;473719;183.42;52.68;142.35;40.88;22.44;6.44;229.71;65.97;105.36;30.26;13.14;3.77;6.9;0.15;46;113.1;32.41;102.2;29.28;88.11;25.3;260.1;74.7;88.11;25.3;229.19;65.82;119.02;34.18;184.04;52.85;78.08;22.42;86.09;24.72;3079;3292;2884;3703;0;0
2af931ff-d0c1-409d-9f01-2510eb2dcb29;g2;;2026-06-16 23:47:19;win;GIGA'S IN PARIS;ESC;selena.;4284;Fennec;486;1;0;4;1;8;2;0;100;344;54.78;2020;1338;682;16;63;508;300;208;3;19;34.98;50.97;301;296;1;1539;502996;151.38;43.77;153.33;44.33;41.18;11.91;231.33;66.88;105.07;30.38;9.48;2.74;5.87;0.1;57;115.7;33.15;112.4;32.21;84.57;24.45;261.32;75.55;84.57;24.45;222.38;64.29;123.51;35.71;165.18;47.76;106.54;30.8;74.16;21.44;3113;2910;3333;3769;4;1
fe0b0512-d8e6-4490-8b1d-7bc7afb4096e;g3;;2026-06-16 23:56:14;loss;ESC;GIGA'S IN PARIS;Clamp2much;4284;Fennec;310;1;1;1;4;7;4;0;25;275;50.11;1921;1267;654;14;51;271;100;171;1;15;38.19;58.61;179;140;0;1400;516022;236.2;59.34;134.83;33.88;26.99;6.78;278.74;70.03;114.9;28.87;4.38;1.1;5.3;0.2;27;139.9;34.89;99.5;24.81;96.13;24.15;301.89;75.85;96.13;24.15;257.93;64.8;140.1;35.2;197.93;49.73;121.34;30.49;78.75;19.79;3282;3218;3346;3751;1;1
fe0b0512-d8e6-4490-8b1d-7bc7afb4096e;g3;;2026-06-16 23:56:14;loss;ESC;GIGA'S IN PARIS;EPo -_-;23;Octane;442;1;1;0;4;7;4;2;25;428;41.13;2726;1787;939;20;60;444;186;258;2;15;68.48;35.36;302;221;13;1536;570243;178.78;44.58;165.66;41.31;56.62;14.12;217.62;54.26;158.84;39.61;24.59;6.13;9.18;0.15;61;124.8;31.12;111.4;27.78;87.67;21.86;313.39;78.14;87.67;21.86;259.72;64.76;141.34;35.24;190.43;47.48;122.73;30.6;87.89;21.91;2712;2702;2698;3779;0;0
fe0b0512-d8e6-4490-8b1d-7bc7afb4096e;g3;;2026-06-16 23:56:14;loss;ESC;GIGA'S IN PARIS;SirSkittleZ;23;Octane;336;1;1;0;4;7;4;2;25;388;50.69;2541;2061;480;26;42;819;612;207;7;18;49.38;59.54;364;547;87;1502;557736;190.49;47.5;158.05;39.41;52.51;13.09;231.58;57.74;154.77;38.59;14.71;3.67;3.41;0.14;24;106.4;26.53;157.2;39.2;147.47;36.77;253.59;63.23;147.47;36.77;225.87;56.32;175.19;43.68;170.87;42.6;118.64;29.58;111.56;27.82;3274;3285;3330;3865;6;0
fe0b0512-d8e6-4490-8b1d-7bc7afb4096e;g3;;2026-06-16 23:56:14;win;GIGA'S IN PARIS;ESC;Axim0v;4284;Fennec;589;1;3;1;5;12;3;2;20;427;48.41;2620;2094;526;25;47;503;353;150;4;13;46.7;36.54;478;336;49;1555;568368;171.3;43.36;174.94;44.29;48.78;12.35;253.25;64.11;133.5;33.8;8.26;2.09;7.52;0.12;61;127.7;31.85;115.4;28.78;92.33;23.37;302.68;76.63;92.33;23.37;281.9;71.36;113.12;28.64;208.36;52.75;136.19;34.48;50.46;12.77;3024;3000;3128;3939;0;2
fe0b0512-d8e6-4490-8b1d-7bc7afb4096e;g3;;2026-06-16 23:56:14;win;GIGA'S IN PARIS;ESC;Mastergiga9;23;Octane;328;1;0;2;0;12;3;0;0;326;39.16;2033;1203;830;14;74;305;152;153;2;14;53.31;21.12;338;201;47;1438;523843;199.72;50.63;166.83;42.3;27.89;7.07;251.77;63.83;126.28;32.01;16.4;4.16;6.23;0.18;34;125.3;31.25;122.4;30.52;110.78;28.08;283.67;71.92;110.78;28.08;276.46;70.1;117.94;29.9;215.24;54.57;113.14;28.68;66.07;16.75;3224;3166;3258;3832;0;2
fe0b0512-d8e6-4490-8b1d-7bc7afb4096e;g3;;2026-06-16 23:56:14;win;GIGA'S IN PARIS;ESC;selena.;4284;Fennec;450;2;0;2;2;12;3;1;100;417;47.68;2809;2222;587;26;53;624;461;163;5;15;34.86;68.39;517;363;41;1490;539151;188.06;47.97;144.84;36.95;59.11;15.08;234.53;59.83;142.66;36.39;14.82;3.78;6.19;0.11;54;130.1;32.44;130.3;32.49;119.28;30.43;272.73;69.57;119.28;30.43;260.77;66.52;131.25;33.48;203.37;51.88;112.97;28.82;75.68;19.31;3191;2733;3412;3929;1;3
49348cbb-f5f4-4c27-9513-af044f432d28;g4;;2026-06-17 00:03:50;loss;ESC;GIGA'S IN PARIS;EPo -_-;23;Octane;492;1;1;3;3;9;3;0;33.33;504;41.64;2752;2180;572;25;50;512;369;143;4;12;42.1;29.35;515;332;30;1562;516316;148;41.9;144.67;40.96;60.52;17.14;212.5;60.16;125.21;35.45;15.49;4.39;8.17;0.14;58;94.8;26.19;117.4;32.43;99.95;28.3;253.24;71.7;99.95;28.3;240.12;67.99;113.07;32.01;187.92;53.2;100.18;28.36;65.1;18.43;2634;2136;3108;3668;0;3
49348cbb-f5f4-4c27-9513-af044f432d28;g4;;2026-06-17 00:03:50;loss;ESC;GIGA'S IN PARIS;Clamp2much;4284;Fennec;395;1;1;1;1;9;3;1;100;290;48.68;1699;1112;587;13;51;171;68;103;1;9;15.43;85.52;157;203;31;1403;475842;207.56;57.27;128.59;35.48;26.27;7.25;238.2;65.72;104.83;28.93;19.39;5.35;2.13;0.14;15;121.9;33.67;101.3;27.98;97.92;27.02;264.5;72.98;97.92;27.02;252.82;69.76;109.6;30.24;190.46;52.55;111.32;30.72;60.63;16.73;2986;3020;2993;3741;2;0
49348cbb-f5f4-4c27-9513-af044f432d28;g4;;2026-06-17 00:03:50;loss;ESC;GIGA'S IN PARIS;SirSkittleZ;23;Octane;172;0;0;0;1;9;3;2;0;371;47.29;2131;1574;557;18;50;619;438;181;5;17;38.18;42.2;202;247;78;1334;431064;210.1;58.96;119.84;33.63;26.38;7.4;228.74;64.2;118.5;33.26;9.08;2.55;1.67;0.14;12;140.4;38.78;121.5;33.56;113.52;31.86;242.8;68.14;113.52;31.86;246.53;69.19;109.79;30.81;197.48;55.42;84.88;23.82;73.96;20.76;3165;2963;3466;3722;3;2
49348cbb-f5f4-4c27-9513-af044f432d28;g4;;2026-06-17 00:03:50;win;GIGA'S IN PARIS;ESC;Axim0v;4284;Fennec;509;1;2;1;5;5;2;1;20;386;52.38;2377;1796;581;22;51;502;274;228;3;19;27.81;41.18;299;427;25;1483;495910;182.78;51.29;124.98;35.07;48.63;13.65;218.28;61.25;124.55;34.95;13.56;3.8;4.32;0.11;40;110.5;30.52;122.8;33.92;83.8;23.51;272.59;76.49;83.8;23.51;221.05;62.02;135.34;37.98;174.37;48.93;91.84;25.77;90.18;25.3;2757;2522;3020;3699;2;2
49348cbb-f5f4-4c27-9513-af044f432d28;g4;;2026-06-17 00:03:50;win;GIGA'S IN PARIS;ESC;Mastergiga9;23;Octane;336;1;1;1;2;5;2;0;50;308;45.93;1561;889;672;12;61;308;181;127;2;11;16.54;17.99;308;134;18;1290;416836;222.64;62.38;119.4;33.45;14.87;4.17;235.95;66.11;109.49;30.68;11.47;3.21;5.11;0.18;28;87.4;24.14;118;32.6;88.8;24.88;268.1;75.12;88.8;24.88;228.91;64.14;127.99;35.86;169.16;47.4;110.9;31.07;76.84;21.53;2659;2547;2841;3566;2;2
49348cbb-f5f4-4c27-9513-af044f432d28;g4;;2026-06-17 00:03:50;win;GIGA'S IN PARIS;ESC;selena.;4284;Fennec;260;1;0;1;2;5;2;1;50;354;51.57;2281;1620;661;21;61;329;194;135;2;12;39.42;43.58;383;515;5;1458;489109;174.28;48.49;139.64;38.85;45.47;12.65;234.94;65.37;115.85;32.23;8.61;2.4;6.17;0.11;54;154.9;42.79;111.2;30.72;85.81;23.88;273.59;76.12;85.81;23.88;265.99;74.01;93.41;25.99;197.4;54.93;108.9;30.3;53.09;14.77;3633;3717;3338;3954;1;1
89b9dd45-db74-4d7c-96d8-09bc8a825cf1;g5;;2026-06-17 00:10:34;loss;ESC;GIGA'S IN PARIS;EPo -_-;23;Octane;278;0;1;0;5;3;2;1;0;426;48.44;2430;1863;567;22;52;352;200;152;2;13;49.28;30.76;191;357;0;1608;503207;122.59;37.41;155.45;47.44;49.64;15.15;172.26;52.57;141.92;43.31;13.51;4.12;6.79;0.13;53;98.5;29.58;123.2;37;89.29;27.25;238.39;72.75;89.29;27.25;205.37;62.67;122.31;37.33;137.79;42.05;131.87;40.24;58.02;17.71;3069;2858;3352;3932;0;2
89b9dd45-db74-4d7c-96d8-09bc8a825cf1;g5;;2026-06-17 00:10:34;loss;ESC;GIGA'S IN PARIS;Clamp2much;4284;Fennec;168;1;0;0;2;3;2;0;50;259;46.06;1491;1011;480;12;40;503;419;84;5;7;22.5;59.73;343;189;80;1438;458159;180.5;54.09;126.35;37.86;26.85;8.05;213.77;64.06;112.04;33.58;7.89;2.36;3.32;0.2;17;106;31.83;66;19.82;83.01;24.88;250.69;75.12;83.01;24.88;223.44;66.96;110.26;33.04;161.75;48.47;99.3;29.76;72.65;21.77;2849;2839;2830;3678;0;0
