replay id;replay title;map;date;result;team name;opposing team name;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time in front of ball;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;demos inflicted;demos taken
2af931ff-d0c1-409d-9f01-2510eb2dcb29;g2;;2026-06-16 23:47:19;loss;ESC;GIGA'S IN PARIS;1066;2;1;5;8;8;3;25;1181;148.31;6720;5401;1319;62;117;1313;974;339;11;31;135.65;152.91;965;756;132;1444785;510.53;398.69;123.04;628.19;369.95;34.12;13.28;92;283.11;749.15;283.11;718.25;313.99;550.69;292.9;188.67;4;5
2af931ff-d0c1-409d-9f01-2510eb2dcb29;g2;;2026-06-16 23:47:19;win;GIGA'S IN PARIS;ESC;1276;3;2;7;8;8;2;37.5;1087;146.79;6052;3922;2130;48;190;1379;748;631;8;57;101.59;105.72;1039;834;53;1523369;444.41;455.12;134.6;653.71;342.97;37.43;17.98;146;258.5;775.63;258.5;671.41;362.71;512.81;284.08;237.22;5;4
fe0b0512-d8e6-4490-8b1d-7bc7afb4096e;g3;;2026-06-16 23:56:14;loss;ESC;GIGA'S IN PARIS;1088;3;3;1;12;7;4;25;1091;141.93;7188;5115;2073;60;153;1534;898;636;10;48;156.05;153.51;845;908;100;1644001;605.47;458.54;136.12;727.94;428.51;43.68;17.89;112;331.27;868.87;331.27;743.52;456.63;559.23;362.71;278.2;7;1
fe0b0512-d8e6-4490-8b1d-7bc7afb4096e;g3;;2026-06-16 23:56:14;win;GIGA'S IN PARIS;ESC;1367;4;3;5;7;12;3;57.14;1170;135.25;7462;5519;1943;65;174;1432;966;466;11;42;134.87;126.05;1333;900;137;1631362;559.08;486.61;135.78;739.55;402.44;39.48;19.94;149;322.39;859.08;322.39;819.13;362.31;626.97;362.3;192.21;1;7
49348cbb-f5f4-4c27-9513-af044f432d28;g4;;2026-06-17 00:03:50;loss;ESC;GIGA'S IN PARIS;1059;2;2;4;5;9;3;40;1165;137.61;6582;4866;1716;56;151;1302;875;427;10;38;95.71;157.07;874;782;139;1423222;565.66;393.1;113.17;679.44;348.54;43.96;11.97;85;311.39;760.54;311.39;739.47;332.46;575.86;296.38;199.69;5;5
49348cbb-f5f4-4c27-9513-af044f432d28;g4;;2026-06-17 00:03:50;win;GIGA'S IN PARIS;ESC;1105;3;3;3;9;5;2;33.33;1048;149.88;6219;4305;1914;55;173;1139;649;490;7;42;83.77;102.75;990;1076;48;1401855;579.7;384.02;108.97;689.17;349.89;33.64;15.6;122;258.41;814.28;258.41;715.95;356.74;540.93;311.64;220.11;5;5
89b9dd45-db74-4d7c-96d8-09bc8a825cf1;g5;;2026-06-17 00:10:34;loss;ESC;GIGA'S IN PARIS;616;1;1;1;10;3;2;10;1057;146.7;6085;4583;1502;55;134;1465;1020;445;13;39;132.31;123.06;855;966;288;1456604;440.92;423.51;127.92;593.34;374.43;24.59;15.11;95;285.66;706.69;285.66;629.47;362.88;455.97;318.76;217.62;4;2
89b9dd45-db74-4d7c-96d8-09bc8a825cf1;g5;;2026-06-17 00:10:34;win;GIGA'S IN PARIS;ESC;1151;2;1;7;3;10;1;66.67;1092;158.6;6076;4154;1922;55;164;1488;993;495;12;44;65.69;115.72;801;1291;205;1384819;466.26;408.02;113.68;612.81;340.73;34.43;18.27;131;218.07;769.9;218.07;702.09;285.88;544.93;280.34;162.69;2;4
e5404fe7-0a38-48c7-84ec-125cf16f37ca;g6;;2026-06-17 00:17:28;win;GIGA'S IN PARIS;ESC;989;3;2;2;7;4;1;42.86;1163;155.64;6385;4609;1776;56;162;1666;1080;586;12;54;87.14;142.16;920;957;144;1451217;445.78;441.16;117.32;643.11;332.11;29.03;20.92;152;220.71;783.54;220.71;591.81;412.44;412.44;347.29;244.52;2;2
e5404fe7-0a38-48c7-84ec-125cf16f37ca;g6;;2026-06-17 00:17:28;loss;ESC;GIGA'S IN PARIS;642;1;1;1;4;7;3;25;1058;149.53;5973;4315;1658;53;139;941;679;262;8;22;135.99;128.88;672;1034;123;1388873;501.75;398.42;104.13;607.03;370.49;26.78;15.69;98;351.56;652.73;351.56;763.05;241.23;601.89;265.25;137.16;2;2
