replay id;replay title;map;date;result;team name;opposing team name;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time in front of ball;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;demos inflicted;demos taken
7e5fe7ea-511c-4b3f-ba43-3c067e4e1f93;g4;Salty Shores (Salty Fest);2026-06-09 00:40:10;loss;SPIRIT AIRLINES;GIGA'S IN PARIS;807;2;1;3;6;9;6;33.33;1180;148.98;7135;5237;1898;64;157;1215;836;379;10;34;134.19;150.29;1470;1124;181;1590257;510.16;510.53;116.88;749.94;349.17;38.47;19.66;163;350.14;787.43;350.14;789.29;348.29;599.77;357.02;180.8;4;4
7e5fe7ea-511c-4b3f-ba43-3c067e4e1f93;g4;Salty Shores (Salty Fest);2026-06-09 00:40:10;win;GIGA'S IN PARIS;SPIRIT AIRLINES;1297;6;4;2;9;6;2;66.67;1007;140.25;6033;4323;1710;55;156;1214;770;444;10;42;121.37;121.73;905;1220;240;1495182;581.54;431.78;122.69;721.31;377.93;36.77;16.32;139;257.8;878.21;257.8;747.12;388.9;557.92;349.9;228.18;4;4
b4c14ba1-af51-4637-9d89-fb56213dc6ec;g5;Salty Shores (Salty Fest);2026-06-09 00:48:52;win;GIGA'S IN PARIS;SPIRIT AIRLINES;1062;4;2;2;7;4;1;57.14;1077;163.46;6164;4488;1676;55;137;1568;1203;365;16;33;71.81;150.49;968;1043;379;1410013;512.25;400.74;110.25;647.57;331.4;44.24;19.27;143;237.17;786.05;237.17;637.86;385.35;481.88;310.92;230.41;2;5
b4c14ba1-af51-4637-9d89-fb56213dc6ec;g5;Salty Shores (Salty Fest);2026-06-09 00:48:52;loss;SPIRIT AIRLINES;GIGA'S IN PARIS;747;1;1;2;4;7;4;25;1017;139.61;5929;4008;1921;46;164;1142;632;510;7;44;115.97;124.21;981;628;66;1448096;502.03;424.21;103.84;660.5;342.13;27.44;17.54;147;326.56;703.51;326.56;692.85;337.21;533.11;307.66;189.3;5;2
32166deb-d23f-49c1-a535-55b4a8670d66;g6;Salty Shores (Salty Fest);2026-06-09 00:55:57;loss;SPIRIT AIRLINES;GIGA'S IN PARIS;589;2;0;1;7;11;3;28.57;642;98.28;3654;2553;1101;32;88;887;473;414;6;35;51.27;101.16;867;555;130;963358;342.57;288.36;67.92;459.92;223.32;15.6;9.48;79;216.01;482.83;216.01;408.96;289.89;309.78;191.82;197.24;3;2
32166deb-d23f-49c1-a535-55b4a8670d66;g6;Salty Shores (Salty Fest);2026-06-09 00:55:57;win;GIGA'S IN PARIS;SPIRIT AIRLINES;1837;3;3;13;11;13;2;27.27;1452;195.71;8510;5924;2586;73;217;2020;1196;824;14;73;111.22;158.64;1336;1429;216;1949760;672.66;571.59;165.28;894.47;485.4;29.66;27.07;207;523.03;886.51;523.03;915.9;493.63;704.71;398.72;306.09;2;3
84c24c4f-d860-4f91-875e-838052854b80;g7;Salty Shores (Salty Fest);2026-06-09 01:02:54;loss;SPIRIT AIRLINES;GIGA'S IN PARIS;879;1;0;5;7;12;3;14.29;1071;145.28;6181;4383;1798;52;150;895;495;400;6;37;143.75;139.55;1053;852;119;1483821;494.48;453.68;100.13;676.97;336.43;34.87;17.9;140;353.89;694.39;353.89;670.64;377.64;515.13;314.45;218.71;3;2
84c24c4f-d860-4f91-875e-838052854b80;g7;Salty Shores (Salty Fest);2026-06-09 01:02:54;win;GIGA'S IN PARIS;SPIRIT AIRLINES;1217;3;3;4;12;7;1;25;1010;156.71;5795;3958;1837;51;146;1074;445;629;7;44;90.2;114.45;764;1112;270;1439252;538.05;412.74;94.93;679.81;341.44;24.47;18.05;149;248.64;797.08;248.64;686.67;359.06;515.54;322.45;207.74;2;3
0ac8fa7c-3a63-4e68-b00f-45405bf3bffd;g8;Salty Shores (Salty Fest);2026-06-09 01:11:45;win;SPIRIT AIRLINES;GIGA'S IN PARIS;1140;4;1;2;12;6;3;33.33;1086;153.19;7870;5488;2382;67;208;1938;1238;700;15;64;166.4;199.86;1830;1182;260;1933061;574.31;590.92;163.32;846.53;440.55;41.46;15.76;147;390.56;937.99;390.56;839.04;489.51;603.59;435.46;289.51;3;1
0ac8fa7c-3a63-4e68-b00f-45405bf3bffd;g8;Salty Shores (Salty Fest);2026-06-09 01:11:45;loss;GIGA'S IN PARIS;SPIRIT AIRLINES;1081;3;1;4;6;12;4;50;1036;150.37;7681;5202;2479;64;205;1577;912;665;11;56;121.1;136.22;1266;1242;195;1836754;626.69;543.31;148.86;856.75;422.86;39.24;21.58;176;346.23;972.62;346.23;929.6;389.24;702.17;390.1;226.57;1;3
