replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
be5acd02-3380-4a90-a8ff-bc539baf3071;series 4 game 1;Mannfield (Dusk);2025-10-31 01:09:50;win;BMM;BBB;Axim0v;22;Breakout;469;2;0;1;3;2;0;0;66.67;440;53.83;2488;1902;586;24;52;325;202;123;3;12;21.91;36.06;480;501;97;1595;505754;132.44;39.45;155.19;46.23;48.05;14.31;201.22;59.94;123.04;36.65;11.42;3.4;4.45;0.11;41;132.6;38.77;91.5;26.75;74.65;22.24;261.03;77.76;74.65;22.24;244.23;72.76;91.45;27.24;183.42;54.64;107.38;31.99;44.87;13.37;3042;3037;3041;4240;0;3
be5acd02-3380-4a90-a8ff-bc539baf3071;series 4 game 1;Mannfield (Dusk);2025-10-31 01:09:50;win;BMM;BBB;Selena Gomez;11505;;400;2;0;1;2;2;0;0;100;344;44.6;1877;1334;543;16;49;345;193;152;2;14;50.34;26.04;198;273;6;1370;438073;191.2;56.37;107.27;31.63;40.72;12.01;218.53;64.43;115.48;34.05;5.18;1.53;9.93;0.13;75;157;45.91;88.2;25.79;73.79;21.75;265.41;78.25;73.79;21.75;268.66;79.21;70.53;20.79;229.73;67.73;71.29;21.02;38.17;11.25;3700;3901;3485;4322;1;0
be5acd02-3380-4a90-a8ff-bc539baf3071;series 4 game 1;Mannfield (Dusk);2025-10-31 01:09:50;win;BMM;BBB;TheLakeEffekt;23;Octane;84;0;0;0;1;2;0;0;0;252;55.44;1413;776;637;9;60;590;360;230;4;21;23.52;36.63;61;151;45;1340;433379;208.35;60.85;122.69;35.83;11.34;3.31;241.4;70.5;97.74;28.55;3.25;0.95;6.91;0.14;50;47.2;13.8;143.8;42.05;115.86;33.84;226.52;66.16;115.86;33.84;197.37;57.65;145.01;42.35;144.37;42.17;111.08;32.44;86.93;25.39;3225;3342;3125;4008;0;0
be5acd02-3380-4a90-a8ff-bc539baf3071;series 4 game 1;Mannfield (Dusk);2025-10-31 01:09:50;loss;BBB;BMM;Authurm19;23;Octane;162;0;0;0;1;6;4;1;0;348;45.14;1963;1309;654;18;58;661;429;232;5;22;50.06;44.42;210;510;84;1530;495082;153.85;44.94;154.07;45;34.46;10.06;169.44;49.49;154.75;45.2;18.18;5.31;9.41;0.1;97;109.9;32.13;117.2;34.27;100.12;29.24;242.26;70.76;100.12;29.24;217.91;63.65;124.47;36.35;159.88;46.7;103.88;30.34;78.63;22.97;2834;2907;2801;3868;2;0
be5acd02-3380-4a90-a8ff-bc539baf3071;series 4 game 1;Mannfield (Dusk);2025-10-31 01:09:50;loss;BBB;BMM;Bubbles3913;23;Octane;104;0;0;0;0;6;4;2;0;400;49.02;2357;1587;770;18;68;569;332;237;4;20;46.95;32.23;319;227;67;1545;495828;136.91;40.34;163.93;48.3;38.53;11.35;191.96;56.56;134.27;39.56;13.15;3.87;4.5;0.1;43;83.7;24.47;127.4;37.25;121.01;35.66;218.37;64.34;121.01;35.66;199.87;58.89;139.51;41.11;132.46;39.03;123.22;36.31;83.7;24.66;2875;2750;2989;3785;1;1
be5acd02-3380-4a90-a8ff-bc539baf3071;series 4 game 1;Mannfield (Dusk);2025-10-31 01:09:50;loss;BBB;BMM;Burt;23;Octane;154;0;0;1;1;6;4;1;0;332;52.28;1929;1320;609;17;56;303;159;144;2;13;30.2;30.88;169;401;40;1392;448525;181.94;53.37;133.44;39.14;25.52;7.49;186.97;54.85;139.19;40.83;14.74;4.32;9.42;0.09;108;134.2;39.24;78.9;23.07;80.44;23.6;260.46;76.4;80.44;23.6;221.3;64.92;119.6;35.08;166.16;48.74;111.79;32.79;62.94;18.46;3469;3344;3542;3956;0;0
d7314abc-c515-44a7-89bd-378c678492e0;series 4 game 2;Mannfield (Dusk);2025-10-31 01:19:18;win;BMM;BBB;Axim0v;22;Breakout;595;2;1;1;4;8;2;2;50;442;49.82;2614;2103;511;23;40;421;362;59;4;6;40.1;42.16;501;196;37;1553;523178;159.06;43.82;155.7;42.9;48.2;13.28;216.59;59.67;122.24;33.68;24.13;6.65;6.14;0.13;49;99.9;27.6;118.1;32.62;87.93;24.23;275.03;75.77;87.93;24.23;280.94;77.4;82.02;22.6;215.66;59.42;100.91;27.8;46.38;12.78;3241;3109;3341;4129;0;0
d7314abc-c515-44a7-89bd-378c678492e0;series 4 game 2;Mannfield (Dusk);2025-10-31 01:19:18;win;BMM;BBB;TheLakeEffekt;23;Octane;325;1;0;2;1;8;2;0;100;269;54.45;1660;1059;601;13;54;321;200;121;2;11;34.5;49.78;60;273;11;1416;472835;196.28;54.53;144.89;40.25;18.77;5.21;241.76;67.17;110.13;30.6;8.05;2.24;6.01;0.16;37;73.8;20.39;124.1;34.28;118.54;32.93;241.41;67.07;118.54;32.93;258.58;71.84;101.36;28.16;188.44;52.35;113.78;31.61;57.72;16.04;3386;3559;3222;4005;0;1
d7314abc-c515-44a7-89bd-378c678492e0;series 4 game 2;Mannfield (Dusk);2025-10-31 01:19:18;win;BMM;BBB;Selena Gomez;11505;;362;1;1;1;2;8;2;0;50;285;44.4;1841;1291;550;15;48;272;184;88;2;9;42.81;30.28;189;214;15;1265;419758;231.36;63.96;101.32;28.01;29.03;8.03;246.8;68.23;110.07;30.43;4.83;1.34;9.53;0.16;61;170.8;47.18;94.6;26.13;70.82;19.58;290.89;80.42;70.82;19.58;299.61;82.83;62.1;17.17;257.77;71.27;72.36;20.01;31.57;8.73;3741;3712;3790;4192;0;0
d7314abc-c515-44a7-89bd-378c678492e0;series 4 game 2;Mannfield (Dusk);2025-10-31 01:19:18;loss;BBB;BMM;Authurm19;23;Octane;188;0;0;1;1;7;4;1;0;343;50.85;2066;1396;670;20;64;383;149;234;3;21;33.86;49.01;259;571;88;1602;539839;143.7;39.59;169.23;46.62;50.03;13.78;202.75;55.86;141.97;39.11;18.24;5.03;11.19;0.1;117;122.8;33.92;103;28.45;96.19;26.5;266.77;73.5;96.19;26.5;223.62;61.61;139.34;38.39;156.9;43.23;132.43;36.49;73.63;20.29;3264;3082;3392;3742;0;0
