replay id;replay title;map;date;result;team name;opposing team name;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time in front of ball;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;demos inflicted;demos taken
94f6d19f-e367-4628-b76c-c6de0c3ecfa5;s2 g1;AquaDome (Salty Shallows);2025-11-20 00:49:41;win;WEENIE HUT JRS;MUSTY M1LKERS;1284;5;3;4;8;5;1;62.5;979;162.16;6416;4854;1562;62;137;1158;683;475;10;42;78.37;199.22;324;1389;324;1440036;596.39;377.29;101.66;678.6;369.97;26.78;19.52;146;216.79;858.55;216.79;659.75;415.59;486.14;325.79;263.42;4;4
94f6d19f-e367-4628-b76c-c6de0c3ecfa5;s2 g1;AquaDome (Salty Shallows);2025-11-20 00:49:41;loss;MUSTY M1LKERS;WEENIE HUT JRS;633;1;1;2;5;8;5;20;1035;130.85;5824;3821;2003;45;161;608;299;309;3;26;123.02;80.95;562;697;2;1465732;545.81;418;112.71;651.74;385.06;39.72;15.64;137;384.44;692.07;384.44;815.53;260.97;632.14;312.52;131.86;4;4
97e2806d-7e40-466d-8e96-b136b0708613;s2 g2;AquaDome (Salty Shallows);2025-11-20 00:57:56;loss;MUSTY M1LKERS;WEENIE HUT JRS;670;1;0;1;10;6;2;10;1106;148.96;6839;4839;2000;57;165;1481;854;627;9;46;152.65;137.73;1059;903;46;1625816;527.07;485;120.37;741.18;364.85;26.4;17.8;151;285.19;847.23;285.19;715.01;417.37;538.66;334.03;259.73;6;1
97e2806d-7e40-466d-8e96-b136b0708613;s2 g2;AquaDome (Salty Shallows);2025-11-20 00:57:56;win;WEENIE HUT JRS;MUSTY M1LKERS;1162;2;1;6;6;10;1;33.33;958;157.51;5960;4498;1462;58;136;957;574;383;9;36;113.63;201.14;783;1293;344;1583624;555.83;431.54;130.74;675.34;384.04;58.73;17.24;140;321.29;796.83;321.29;781.54;336.58;620.62;296.96;200.54;1;6
d1cb6175-c3f8-4614-ab0f-5e748e7522bb;s2 g3;AquaDome (Salty Shallows);2025-11-20 01:05:15;loss;WEENIE HUT JRS;MUSTY M1LKERS;869;1;0;4;4;7;2;25;953;155.78;5245;3664;1581;47;143;897;661;236;7;20;92.46;171.85;673;1115;41;1347787;529.27;355.56;100.09;635.63;317.72;31.58;16.55;122;282.7;702.23;282.7;778.64;206.3;626.45;252.06;106.41;6;5
d1cb6175-c3f8-4614-ab0f-5e748e7522bb;s2 g3;AquaDome (Salty Shallows);2025-11-20 01:05:15;win;MUSTY M1LKERS;WEENIE HUT JRS;1052;2;2;4;7;4;1;28.57;1163;165.77;6276;4729;1547;57;142;1481;950;531;12;48;74.18;121.66;786;1057;273;1376270;472.2;405.24;103.19;609;343.2;28.41;18.59;135;254.83;725.8;254.83;567.57;413.05;410.03;307.66;262.91;5;6
278e28c0-0119-45bf-9b5c-c6a8662a75aa;s2 g4;AquaDome (Salty Shallows);2025-11-20 01:12:53;loss;WEENIE HUT JRS;MUSTY M1LKERS;866;1;1;4;6;6;2;16.67;1010;166.38;6293;4734;1559;59;139;1151;740;411;9;36;102.51;166.96;787;1204;161;1525249;559.72;407.01;131.23;687.8;385.35;24.81;21.49;167;261.85;836.11;261.85;732.69;365.27;579.95;287.47;230.54;2;3
278e28c0-0119-45bf-9b5c-c6a8662a75aa;s2 g4;AquaDome (Salty Shallows);2025-11-20 01:12:53;win;MUSTY M1LKERS;WEENIE HUT JRS;1067;2;1;5;6;6;1;33.33;1130;152.87;6758;4865;1893;61;162;1305;880;425;11;39;124.47;130.92;920;1096;193;1536951;546.39;433.89;123.49;687.96;380.92;34.88;16.8;139;290.46;813.31;290.46;768.85;334.83;612.46;292.8;198.52;3;2
26d152b5-23c9-4c3d-91a7-d612bd8e1119;s2 g5;AquaDome (Salty Shallows);2025-11-20 01:21:03;win;WEENIE HUT JRS;MUSTY M1LKERS;1303;3;2;7;10;9;2;30;1007;158.99;5802;4271;1531;55;140;853;586;267;7;26;85.92;229.5;756;1313;127;1375404;580.7;345.15;112.66;641.63;357.36;39.53;18.39;143;261.14;777.37;261.14;781.85;256.67;622.86;265.59;150.07;3;3
26d152b5-23c9-4c3d-91a7-d612bd8e1119;s2 g5;AquaDome (Salty Shallows);2025-11-20 01:21:03;loss;MUSTY M1LKERS;WEENIE HUT JRS;995;2;1;6;9;10;3;22.22;1127;143.93;6087;4365;1722;55;146;1342;667;675;8;54;153.43;93.82;887;1087;140;1455952;501.98;419.02;122.02;647.17;353.84;42.02;15.74;137;285.65;757.39;285.65;648.5;394.53;491.94;285.03;266.06;3;3
